,unitary
0,"Operator([[ 0.88064867-0.19898603j, -0.16271852+0.39797633j],
          [ 0.31802282+0.28935093j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.88064867-0.19898603j,  0.42682103+0.05182938j],
          [-0.36307085+0.23030855j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.88064867-0.19898603j, -0.36023922-0.23471298j],
          [ 0.22432552-0.36679768j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.88064867-0.19898603j, -0.40716598+0.13812436j],
          [ 0.42699712-0.05035807j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.88064867-0.19898603j, -0.36954423-0.21977155j],
          [ 0.23915071-0.35730857j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.88064867-0.19898603j, -0.26351515+0.33973849j],
          [ 0.38398729+0.19343277j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.88064867-0.19898603j, -0.38897592+0.18319446j],
          [ 0.4299524 -0.00184561j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.88064867-0.19898603j, -0.08038607+0.4223749j ],
          [ 0.25417931+0.34677854j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.88064867-0.19898603j,  0.33568234+0.26866307j],
          [-0.18755729+0.38689112j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.88064867-0.19898603j,  0.22104594-0.36878336j],
          [-0.35813201-0.23791582j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
