,unitary
0,"Operator([[ 0.95240675-0.13313589j,  0.27376914-0.01570597j],
          [-0.26758168+0.05996886j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.95240675-0.13313589j, -0.07376124+0.26411266j],
          [ 0.14335855+0.23376173j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.95240675-0.13313589j,  0.24960691-0.11354563j],
          [-0.27117518-0.04074608j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.95240675-0.13313589j, -0.11902911+0.24703904j],
          [ 0.18220926+0.20492927j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.95240675-0.13313589j,  0.23430891+0.14246247j],
          [-0.18626123+0.2012535j ,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[0.95240675-0.13313589j, 0.07072873+0.26494087j],
          [0.0046344 +0.27418012j, 0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.95240675-0.13313589j, -0.07935267+0.2624869j ],
          [ 0.14828983+0.23066501j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.95240675-0.13313589j,  0.17043548+0.21482078j],
          [-0.1049942 +0.25332279j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.95240675-0.13313589j,  0.20958113+0.17683882j],
          [-0.15305469+0.22753128j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.95240675-0.13313589j,  0.26412448-0.0737189j ],
          [-0.27421499+0.00153498j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
