,unitary
0,"Operator([[ 0.96939523-0.10815603j, -0.10799166+0.19212747j],
          [ 0.14768062+0.16360196j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.96939523-0.10815603j,  0.19416279-0.10428795j],
          [-0.21237317-0.05893048j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.96939523-0.10815603j,  0.06878793-0.20938812j],
          [-0.11324511-0.18907858j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96939523-0.10815603j, -0.21963177-0.0183589j ],
          [ 0.21018479-0.06631381j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96939523-0.10815603j, -0.1278032 -0.1795592j ],
          [ 0.08508609-0.20331139j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.96939523-0.10815603j, -0.00283488+0.22037951j],
          [ 0.05133632+0.2143356j ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.96939523-0.10815603j, -0.0744179 +0.20745395j],
          [ 0.11831035+0.18595114j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96939523-0.10815603j, -0.0484579 +0.21500464j],
          [ 0.09465287+0.19903769j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.96939523-0.10815603j,  0.15419352+0.15747864j],
          [-0.11569398+0.18759016j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.96939523-0.10815603j,  0.12705399-0.18009012j],
          [-0.1636212 -0.1476593j ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
