,unitary
0,"Operator([[ 0.91126398-0.33103507j, -0.13610488-0.20136536j,
           -0.01461929+0.02697166j],
          [ 0.06002448-0.23551988j,  0.93904506+0.00701938j,
           -0.13610488-0.20136536j],
          [-0.02507988-0.01766901j,  0.06002448-0.23551988j,
            0.91126398-0.33103507j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.91671892-0.33231447j,  0.21976428+0.01638213j,
            0.02421034+0.00653153j],
          [-0.20128986+0.08970566j,  0.95017768+0.00573962j,
            0.21976428+0.01638213j],
          [ 0.01878972-0.01660567j, -0.20128986+0.08970566j,
            0.91671892-0.33231447j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.91257212-0.33134193j,  0.04080267+0.23430586j,
           -0.02856163+0.00669249j],
          [ 0.04080267+0.23430586j,  0.94171479+0.00671257j,
            0.04080267+0.23430586j],
          [-0.02856163+0.00669249j,  0.04080267+0.23430586j,
            0.91257212-0.33134193j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.91411338-0.33170343j, -0.09747965+0.20999307j,
           -0.015369  -0.02310791j],
          [ 0.16272628+0.16468008j,  0.94486027+0.00635102j,
           -0.09747965+0.20999307j],
          [-0.00350432+0.02753j   ,  0.16272628+0.16468008j,
            0.91411338-0.33170343j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.92793104-0.33494252j,  0.13407312+0.09272546j,
            0.00330052+0.0131521j ],
          [-0.09483634+0.13258839j,  0.97305865+0.00310616j,
            0.13407312+0.09272546j],
          [-0.0028825 -0.01325j   , -0.09483634+0.13258839j,
            0.92793104-0.33494252j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.8921736 -0.32655353j,  0.26457742+0.1576672j ,
            0.01872167+0.0466734j ],
          [-0.1957058 +0.2378222j ,  0.90008203+0.01149033j,
            0.26457742+0.1576672j ],
          [-0.00397835-0.05013063j, -0.1957058 +0.2378222j ,
            0.8921736 -0.32655353j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.90688849-0.33000848j,  0.08868816-0.2440183j ,
           -0.02420528-0.02551975j],
          [-0.165954  -0.19967421j,  0.93011517+0.00804519j,
            0.08868816-0.2440183j ],
          [-0.01034554+0.03361731j, -0.165954  -0.19967421j,
            0.90688849-0.33000848j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.92472172-0.33419049j, -0.17827617-0.03376295j,
            0.0148799 +0.00791954j],
          [ 0.15636869-0.09203893j,  0.96650941+0.00386037j,
           -0.17827617-0.03376295j],
          [ 0.00981548-0.01370354j,  0.15636869-0.09203893j,
            0.92472172-0.33419049j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.91166117-0.33112825j, -0.12844701-0.20448234j,
           -0.01617476+0.02558721j],
          [ 0.05176375-0.23586474j,  0.93985568+0.00692623j,
           -0.12844701-0.20448234j],
          [-0.02585825-0.01573781j,  0.05176375-0.23586474j,
            0.91166117-0.33112825j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.90662677-0.32994706j,  0.23640543+0.109632j  ,
            0.01965168+0.02949489j],
          [-0.18542974+0.18309155j,  0.92958102+0.00810653j,
            0.23640543+0.109632j  ],
          [ 0.00449971-0.03515522j, -0.18542974+0.18309155j,
            0.90662677-0.32994706j]],
         input_dims=(3,), output_dims=(3,))"
