,unitary
0,"Operator([[ 0.94460909-0.1427637j , -0.28596195+0.07455171j],
          [ 0.29522142-0.01328557j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.94460909-0.1427637j , -0.28904945+0.0615029j ],
          [ 0.29431484-0.02666399j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.94460909-0.1427637j , -0.13339021-0.26370295j],
          [ 0.04950298-0.29134455j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.94460909-0.1427637j ,  0.2430761 -0.16806606j],
          [-0.28188639-0.08872574j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.94460909-0.1427637j , 0.08458578+0.28315621j],
          [0.0028705 +0.29550627j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.94460909-0.1427637j ,  0.07044544-0.2870011j ],
          [-0.15211373-0.25336457j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.94460909-0.1427637j ,  0.03538172-0.29339449j],
          [-0.12050545-0.26983445j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.94460909-0.1427637j ,  0.09545887+0.27967802j],
          [-0.00854484+0.29539665j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.94460909-0.1427637j , 0.07942292+0.28464749j],
          [0.00824347+0.29540521j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.94460909-0.1427637j , -0.05745323+0.28988156j],
          [ 0.14055302+0.25995584j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
