,unitary
0,"Operator([[ 0.998072  -0.02773136j, -0.04794252-0.02801358j],
          [ 0.04631304-0.03063247j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.998072  -0.02773136j, -0.05020029-0.02373134j],
          [ 0.04880511-0.0264822j ,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.998072  -0.02773136j, -0.04845631-0.02711515j],
          [ 0.04687593-0.02976395j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.998072  -0.02773136j, 0.00154222+0.05550556j],
          [0.00154222+0.05550556j, 0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.998072  -0.02773136j, -0.04902017-0.02608195j],
          [ 0.04749629-0.02876365j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.998072  -0.02773136j, -0.05056485-0.02294431j],
          [ 0.04921281-0.02571663j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.998072  -0.02773136j, -0.04963052-0.02490094j],
          [ 0.04817128-0.02761836j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.998072  -0.02773136j, -0.04752911-0.0287094j ],
          [ 0.04586163-0.03130426j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.998072  -0.02773136j, -0.04715637-0.02931762j],
          [ 0.04545569-0.03189084j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.998072  -0.02773136j, -0.04753403-0.02870126j],
          [ 0.04586699-0.0312964j ,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
