,unitary
0,"Operator([[ 0.95240675-0.13313589j, -0.07924297-0.26252004j],
          [ 0.0042173 -0.27418686j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.95240675-0.13313589j, -0.05218879-0.26920726j],
          [-0.02363357-0.27319896j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.95240675-0.13313589j,  0.21824171-0.16603245j],
          [-0.25540519-0.09982188j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.95240675-0.13313589j,  0.26618394-0.06589635j],
          [-0.27405041+0.00962241j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.95240675-0.13313589j,  0.270257  -0.04644753j],
          [-0.2726341 +0.02944262j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.95240675-0.13313589j,  0.16947809-0.21557689j],
          [-0.22209686-0.16083906j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.95240675-0.13313589j,  0.27403716-0.00999266j],
          [-0.26627272+0.06553667j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.95240675-0.13313589j,  0.19756702-0.19016701j],
          [-0.24214118-0.12870069j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.95240675-0.13313589j,  0.24019993-0.13228837j],
          [-0.26726841-0.06134993j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.95240675-0.13313589j,  0.1238569 -0.24465422j],
          [-0.18619803-0.20131198j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
