num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
10.0,1.0,1.0,4.0,0.0,5.0,-0.7900293982819317
10.0,1.0,1.0,4.0,1.0,5.0,-0.8017227863810716
10.0,1.0,1.0,4.0,2.0,5.0,-0.779491791921534
10.0,1.0,1.0,4.0,3.0,5.0,-0.8027949491091307
10.0,1.0,1.0,4.0,4.0,5.0,-0.8045466554233631
10.0,1.0,1.0,4.0,5.0,5.0,-0.8021157329260107
10.0,1.0,1.0,4.0,6.0,5.0,-0.8129679885817723
10.0,1.0,1.0,4.0,7.0,5.0,-0.8158001239402406
10.0,1.0,1.0,4.0,8.0,5.0,-0.8157243998176855
10.0,1.0,1.0,4.0,9.0,5.0,-0.8157248030764435
10.0,1.0,1.0,4.0,0.0,6.0,-0.3312641615337835
10.0,1.0,1.0,4.0,1.0,6.0,-0.3620941175140685
10.0,1.0,1.0,4.0,2.0,6.0,-0.33695197199902
10.0,1.0,1.0,4.0,3.0,6.0,-0.36777452464513594
10.0,1.0,1.0,4.0,4.0,6.0,-0.30083586329270157
10.0,1.0,1.0,4.0,5.0,6.0,-0.32279086262869006
10.0,1.0,1.0,4.0,6.0,6.0,-0.36209408053752423
10.0,1.0,1.0,4.0,7.0,6.0,-0.3601412228280502
10.0,1.0,1.0,4.0,8.0,6.0,-0.3604412316404173
10.0,1.0,1.0,4.0,9.0,6.0,-0.36044124089811724
10.0,1.0,1.0,4.0,0.0,7.0,-0.2634134779506748
10.0,1.0,1.0,4.0,1.0,7.0,-0.2907391006345724
10.0,1.0,1.0,4.0,2.0,7.0,-0.27277423324421485
10.0,1.0,1.0,4.0,3.0,7.0,-0.2018826190126517
10.0,1.0,1.0,4.0,4.0,7.0,-0.2727742047010439
10.0,1.0,1.0,4.0,5.0,7.0,-0.19370207325344102
10.0,1.0,1.0,4.0,6.0,7.0,-0.29073909766326783
10.0,1.0,1.0,4.0,7.0,7.0,-0.26790578321565517
10.0,1.0,1.0,4.0,8.0,7.0,-0.22343676353439823
10.0,1.0,1.0,4.0,9.0,7.0,-0.2803497925646109
10.0,1.0,1.0,4.0,0.0,8.0,-0.8334693564681457
10.0,1.0,1.0,4.0,1.0,8.0,-0.7630355382969856
10.0,1.0,1.0,4.0,2.0,8.0,-0.7843439130862587
10.0,1.0,1.0,4.0,3.0,8.0,-0.7586029896089982
10.0,1.0,1.0,4.0,4.0,8.0,-0.833469460873633
10.0,1.0,1.0,4.0,5.0,8.0,-0.7732155085985551
10.0,1.0,1.0,4.0,6.0,8.0,-0.7504716240859531
10.0,1.0,1.0,4.0,7.0,8.0,-0.7950271304116096
10.0,1.0,1.0,4.0,8.0,8.0,-0.8334693315204984
10.0,1.0,1.0,4.0,9.0,8.0,-0.755961898521947
10.0,1.0,1.0,4.0,0.0,9.0,-0.5058247353292563
10.0,1.0,1.0,4.0,1.0,9.0,-0.5347733161292616
10.0,1.0,1.0,4.0,2.0,9.0,-0.5568393208628079
10.0,1.0,1.0,4.0,3.0,9.0,-0.5535883531204608
10.0,1.0,1.0,4.0,4.0,9.0,-0.5109634800600958
10.0,1.0,1.0,4.0,5.0,9.0,-0.5409404088404403
10.0,1.0,1.0,4.0,6.0,9.0,-0.5086825228705457
10.0,1.0,1.0,4.0,7.0,9.0,-0.5167572529430804
