,unitary
0,"Operator([[ 0.96135264-0.1207989j , -0.24699278+0.01425779j],
          [ 0.24284181-0.04729244j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.96135264-0.1207989j , 0.03084502+0.24547363j],
          [0.03084502+0.24547363j, 0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[0.96135264-0.1207989j , 0.03084502+0.24547363j],
          [0.03084502+0.24547363j, 0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96135264-0.1207989j ,  0.24739753-0.0017839j ],
          [-0.24014788+0.05947868j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96135264-0.1207989j ,  0.09872785+0.22685134j],
          [-0.03953472+0.24422474j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.96135264-0.1207989j , -0.01622333+0.24687147j],
          [ 0.07679596+0.23518312j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.96135264-0.1207989j , 0.03084502+0.24547363j],
          [0.03084502+0.24547363j, 0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96135264-0.1207989j, -0.16203872+0.186955j ],
          [ 0.20325474+0.141054j ,  0.96135264-0.1207989j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.96135264-0.1207989j , -0.1835805 +0.1658521j ],
          [ 0.21890589+0.11527762j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.96135264-0.1207989j , -0.22519215+0.10245592j],
          [ 0.24353947+0.04355738j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
