unitary
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.07262112+0.28645831j],
          [0.01527662+0.29512509j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.05745992+0.28988023j],
          [0.03077191+0.29391373j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.02742124+0.29424525j],
          [0.0607589 +0.28920676j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
