unitary
"Operator([[0.97517033-0.0978434j , 0.01983384+0.19767681j],
          [0.01983384+0.19767681j, 0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.19773742+0.01922019j],
          [-0.18997737+0.05812142j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.04426   -0.19367642j],
          [ 0.00490018-0.19860889j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.07050942+0.18573617j],
          [ 0.10600401+0.16802575j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.19797972+0.0165388j ],
          [ 0.19731906-0.02312338j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
