,theta_x,theta_y
0,0.43655407404739416,1.6029397304783983
1,-2.198654522382097,-2.223699323887015
2,-3.141592653589793,1.6630706992202124
3,-3.141592653589793,-3.141592653589793
4,1.3374975791261556,-1.190479391481585
5,2.13749795036212,-2.7357999159824744
6,0.2849447979665833,-0.64318072345676
7,0.8981288464777639,1.6131994752580923
8,0.21503490943888204,-1.169706160267565
9,2.6177240075605455,-2.7457576660705976
10,2.011911362283979,-0.7378366992978767
11,-2.700089311080348,-1.9364143321067067
12,2.404799321012714,-2.665113393072805
13,-2.6520187573702256,0.578539331474688
14,1.5779146686628271,-1.1570552025624994
15,-2.142087606155372,0.88422105633386
16,2.7570630243555287,-1.470841825540992
17,-0.1299960404162288,2.2847074519412303
18,-1.3605384314914986,-1.0463116173239837
19,-0.9321494464820861,-2.9892247238636838
20,-3.0036272908940727,0.6390323131787533
21,-2.3339991485597147,2.6782096819612287
22,0.9025435745256034,-0.522029867142473
23,0.6284560002804813,2.3601588792663355
24,0.42435957244811273,-0.6997183900314361
25,-1.121959704521156,-1.3586023067656496
26,3.141592653589793,0.6542753927376324
27,3.141592653589793,3.132606147056217
28,1.0109321391183297,2.308160715387105
29,0.7331476954308787,-0.8757136188874882
30,1.142429344963493,1.0539725642892583
31,-0.9757445987626174,-0.5189686411571828
32,-2.144681249780416,0.0008083103176534379
33,1.0624030793692016,1.357144197431595
34,-0.011970223602063096,-0.4345356958817793
35,-1.9076471495203613,1.1395380624004352
36,-0.700320296076204,0.9624248330228093
37,2.2484328232159982,2.749657613398583
38,3.0291172067717564,-2.0272560047465706
39,-1.4723742122216104,1.0789904372413335
40,-0.06296528314209204,2.503208706338702
41,-1.4613395996879912,2.7002302203650212
42,0.2732227974822332,-3.141592653589793
43,-1.1047069119665875,1.6805703823173574
44,-0.9628186250017655,2.236482797322868
45,2.705776604342399,2.5662455580521106
46,-1.983271621818746,-2.9885357217626636
47,0.5145025105736108,2.200107574353893
48,-2.2855626921603225,2.2007113061870687
49,2.479244094004918,1.7684839189069128
