,unitary
0,"Operator([[ 0.9318629 -0.1567647j ,  0.24119708-0.22108898j],
          [-0.30026   -0.13000117j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9318629 -0.1567647j , -0.06781904+0.32008897j],
          [ 0.16881748+0.28028027j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9318629 -0.1567647j ,  0.31439816+0.09060996j],
          [-0.26744563+0.18849193j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9318629 -0.1567647j , -0.21594552+0.24581274j],
          [ 0.28448784+0.16162623j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9318629 -0.1567647j ,  0.17575527+0.27598271j],
          [-0.07578109+0.31829797j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9318629 -0.1567647j , -0.12222717+0.30350764j],
          [ 0.21480551+0.24680957j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9318629 -0.1567647j ,  0.19753843+0.26083508j],
          [-0.10132146+0.31111145j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9318629 -0.1567647j ,  0.17923292-0.27373697j],
          [-0.25893268-0.20002559j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9318629 -0.1567647j ,  0.23001495+0.23270043j],
          [-0.14121588+0.29515156j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
