,unitary
0,"Operator([[ 0.96135264-0.1207989j , -0.23265945+0.08413263j],
          [ 0.24624138+0.02395628j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.96135264-0.1207989j , -0.22047653-0.11224446j],
          [ 0.18585272-0.16330182j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.96135264-0.1207989j , -0.23929315+0.06282921j],
          [ 0.2473983 +0.00167393j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96135264-0.1207989j ,  0.13120511+0.20974732j],
          [-0.07523394+0.23568745j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96135264-0.1207989j , -0.20018504-0.14537767j],
          [ 0.15799476-0.19038481j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.96135264-0.1207989j , -0.03929097-0.24426408j],
          [-0.02236239-0.24639124j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.96135264-0.1207989j , -0.24145344-0.05393474j],
          [ 0.22060357-0.11199457j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96135264-0.1207989j ,  0.17977028+0.1699746j ],
          [-0.13212927+0.20916638j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.96135264-0.1207989j , -0.24660257-0.01989698j],
          [ 0.23401371-0.08028888j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.96135264-0.1207989j , -0.20567884-0.13749521j],
          [ 0.16526792-0.18410658j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
