,unitary
0,"Operator([[ 0.95240675-0.13313589j, -0.2176248 +0.16684024j],
          [ 0.25503344+0.10076787j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.95240675-0.13313589j,  0.27102628-0.04172497j],
          [-0.27207887+0.0341951j ,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.95240675-0.13313589j, -0.22426569-0.15780089j],
          [ 0.1723969 -0.21324991j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.95240675-0.13313589j, -0.26741119-0.06072458j],
          [ 0.24050872-0.13172614j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.95240675-0.13313589j, -0.12526473-0.2439364j ],
          [ 0.05357092-0.26893563j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.95240675-0.13313589j, -0.26586346+0.06717767j],
          [ 0.27409358-0.00830232j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.95240675-0.13313589j, -0.24670009-0.11973004j],
          [ 0.2044111 -0.18279037j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.95240675-0.13313589j, -0.20569008+0.18134996j],
          [ 0.24753506+0.11799412j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.95240675-0.13313589j,  0.26258529+0.07902648j],
          [-0.23084907+0.14800312j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.95240675-0.13313589j,  0.10679262-0.2525699j ],
          [-0.1719585 -0.21360359j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
