num_of_intervals,total_time,target_state_seed,init_seed,final_cost
2,4.0,4,7,-0.5475799498804353
2,4.0,4,5,-0.9182143727149368
2,4.0,4,2,-0.6064401078464341
2,4.0,4,9,-0.8471121596875717
2,4.0,4,0,-0.8471121596939555
2,4.0,4,1,-0.5475799498804657
2,4.0,4,3,-0.5388437146221182
2,4.0,4,4,-0.9182143727584124
2,4.0,4,6,-0.8471121596924367
2,4.0,4,8,-0.5475799498490361
2,4.0,6,7,-0.7103174554127942
2,4.0,6,5,-0.9687971857567428
2,4.0,6,2,-0.602622729914928
2,4.0,6,9,-0.9899008719036548
2,4.0,6,0,-0.9899008719034876
2,4.0,6,1,-0.7103174554112061
2,4.0,6,3,-0.6026227299189905
2,4.0,6,4,-0.8023097884108202
2,4.0,6,6,-0.9899008716528556
2,4.0,6,8,-0.7103174553935622
2,4.0,0,7,-0.6761324188716393
2,4.0,0,5,-0.8051942235159262
2,4.0,0,2,-0.8092350933321959
2,4.0,0,9,-0.8806306556573749
2,4.0,0,0,-0.8806306556943096
2,4.0,0,1,-0.6761324188831305
2,4.0,0,3,-0.8092350933544701
2,4.0,0,4,-0.8806306556954727
2,4.0,0,6,-0.8806306556827426
2,4.0,0,8,-0.8806306556956459
2,4.0,7,7,-0.9528874221069246
2,4.0,7,5,-0.9021395299024249
2,4.0,7,2,-0.9021395299161774
2,4.0,7,9,-0.6150066398151633
2,4.0,7,0,-0.6150066398167211
2,4.0,7,1,-0.9528874220992544
2,4.0,7,3,-0.9021395299171084
2,4.0,7,4,-0.6280964166380466
2,4.0,7,6,-0.6050766250068208
2,4.0,7,8,-0.9528874221042728
2,4.0,3,7,-0.7645456513817526
2,4.0,3,5,-0.6247867184584579
2,4.0,3,2,-0.9373059652655088
2,4.0,3,9,-0.9373059652656084
2,4.0,3,0,-0.937305965265561
2,4.0,3,1,-0.7645456514219584
2,4.0,3,3,-0.9373059652654738
2,4.0,3,4,-0.9373059652655624
2,4.0,3,6,-0.9373059652180414
2,4.0,3,8,-0.9372909455145614
2,4.0,9,7,-0.8624902092588025
2,4.0,9,5,-0.961907460925471
2,4.0,9,2,-0.3845872549198323
2,4.0,9,9,-0.9618614807522504
2,4.0,9,0,-0.9618614807570568
2,4.0,9,1,-0.8624902092731815
2,4.0,9,3,-0.3845872549200897
2,4.0,9,4,-0.9618614807572377
2,4.0,9,6,-0.9618614807437968
2,4.0,9,8,-0.8624902092752942
2,4.0,1,7,-0.865565073944527
2,4.0,1,5,-0.7636598739861441
2,4.0,1,2,-0.8655650739267129
2,4.0,1,9,-0.5108573989568355
2,4.0,1,0,-0.7241671481244383
2,4.0,1,1,-0.7549150386413631
2,4.0,1,3,-0.8655650739440894
2,4.0,1,4,-0.7636598740197864
2,4.0,1,6,-0.7752828003845014
2,4.0,1,8,-0.7549150387718617
2,4.0,2,7,-0.9560291662833288
2,4.0,2,5,-0.4196383060690831
2,4.0,2,2,-0.9247718825855306
2,4.0,2,9,-0.2267311457287471
2,4.0,2,0,-0.9434979408701984
2,4.0,2,1,-0.9560291662881591
2,4.0,2,3,-0.9247718825864768
2,4.0,2,4,-0.2698484157178184
2,4.0,2,6,-0.943497940871667
2,4.0,2,8,-0.8407570412168833
2,4.0,5,7,-0.598171974779386
2,4.0,5,5,-0.9750211400072696
2,4.0,5,2,-0.9750211400072716
2,4.0,5,9,-0.6798249654115742
2,4.0,5,0,-0.9750211400072732
2,4.0,5,1,-0.5981719747801526
2,4.0,5,3,-0.5510059550144643
2,4.0,5,4,-0.9750211400053346
2,4.0,5,6,-0.9750211400061056
2,4.0,5,8,-0.3799149151867962
2,4.0,8,7,-0.6661178397163188
2,4.0,8,5,-0.8473414706468537
2,4.0,8,2,-0.7272092291658072
2,4.0,8,9,-0.461687890927514
2,4.0,8,0,-0.8473414706468543
2,4.0,8,1,-0.6661178397163016
2,4.0,8,3,-0.7272092291510075
2,4.0,8,4,-0.4616878909275461
2,4.0,8,6,-0.8473414706434609
2,4.0,8,8,-0.6661178396997058
2,9.0,4,7,-0.3754345557776555
2,9.0,4,5,-0.5313751769885843
2,9.0,4,2,-0.6380204585432578
2,9.0,4,9,-0.8981524527351155
2,9.0,4,0,-0.8981896297524955
2,9.0,4,1,-0.5311207159016446
2,9.0,4,3,-0.6380215802054185
2,9.0,4,4,-0.8981829253478868
2,9.0,4,6,-0.6198581519410664
2,9.0,4,8,-0.5298179464095738
2,9.0,6,7,-0.7795764722558431
2,9.0,6,5,-0.7974223962549268
2,9.0,6,2,-0.7796000900170493
2,9.0,6,9,-0.8049941875555946
2,9.0,6,0,-0.8049944472316551
2,9.0,6,1,-0.8045712689209392
2,9.0,6,3,-0.8022514811950319
2,9.0,6,4,-0.8053136223194122
2,9.0,6,6,-0.8049952406486532
2,9.0,6,8,-0.8049947634071377
2,9.0,0,7,-0.7393678636045335
2,9.0,0,5,-0.3109438639236367
2,9.0,0,2,-0.650071498730511
2,9.0,0,9,-0.5197378031099024
2,9.0,0,0,-0.377683071305783
2,9.0,0,1,-0.7396225254815506
2,9.0,0,3,-0.6492976087470879
2,9.0,0,4,-0.5201515975749148
2,9.0,0,6,-0.7358034731310156
2,9.0,0,8,-0.3734018896643865
2,9.0,7,7,-0.8361106639660663
2,9.0,7,5,-0.8377652308730931
2,9.0,7,2,-0.8019368883133262
2,9.0,7,9,-0.8190976406903666
2,9.0,7,0,-0.8191005439353839
2,9.0,7,1,-0.4970095609017637
2,9.0,7,3,-0.8021015190730886
2,9.0,7,4,-0.789800219549523
2,9.0,7,6,-0.8018771478236457
2,9.0,7,8,-0.4970097845258482
2,9.0,3,7,-0.7690986763232078
2,9.0,3,5,-0.5438863662716793
2,9.0,3,2,-0.8233534545202308
2,9.0,3,9,-0.7786677329185723
2,9.0,3,0,-0.6539981200985595
2,9.0,3,1,-0.770625709243307
2,9.0,3,3,-0.8249192925726285
2,9.0,3,4,-0.4341795187343112
2,9.0,3,6,-0.7743717797744426
2,9.0,3,8,-0.672400619078074
2,9.0,9,7,-0.8489449906574209
2,9.0,9,5,-0.3810940122882342
2,9.0,9,2,-0.8490673205080601
2,9.0,9,9,-0.7471567904436821
2,9.0,9,0,-0.7419877630292493
2,9.0,9,1,-0.8488045245690448
2,9.0,9,3,-0.851402671659532
2,9.0,9,4,-0.3046104602918631
2,9.0,9,6,-0.8489051013162346
2,9.0,9,8,-0.5325463613073951
2,9.0,1,7,-0.9459406483216972
2,9.0,1,5,-0.9434968598423238
2,9.0,1,2,-0.9022615187175492
2,9.0,1,9,-0.6640333016404187
2,9.0,1,0,-0.66396093310105
2,9.0,1,1,-0.943521423469263
2,9.0,1,3,-0.9020767968422504
2,9.0,1,4,-0.6638155953839753
2,9.0,1,6,-0.9462493312965756
2,9.0,1,8,-0.8496562201723646
2,9.0,2,7,-0.7030060012616686
2,9.0,2,5,-0.8470559425575849
2,9.0,2,2,-0.9798552925285212
2,9.0,2,9,-0.7080581161036269
2,9.0,2,0,-0.9812654493217514
2,9.0,2,1,-0.621402612853672
2,9.0,2,3,-0.9782173319185986
2,9.0,2,4,-0.442734052771739
2,9.0,2,6,-0.978192655134806
2,9.0,2,8,-0.9165890310282871
2,9.0,5,7,-0.6374484841768957
2,9.0,5,5,-0.7820990742966593
2,9.0,5,2,-0.8006896400969024
2,9.0,5,9,-0.8724683139490147
2,9.0,5,0,-0.8754069428675946
2,9.0,5,1,-0.6374474227616659
2,9.0,5,3,-0.8338429504327811
2,9.0,5,4,-0.4201336399299742
2,9.0,5,6,-0.4191855719877311
2,9.0,5,8,-0.637356169423153
2,9.0,8,7,-0.9247064956483522
2,9.0,8,5,-0.9229692455705458
2,9.0,8,2,-0.667739185603311
2,9.0,8,9,-0.7583028489427586
2,9.0,8,0,-0.7619765191934006
2,9.0,8,1,-0.9228900320871072
2,9.0,8,3,-0.5571100589826795
2,9.0,8,4,-0.6677780275551839
2,9.0,8,6,-0.6709761685415101
2,9.0,8,8,-0.9229078310255824
2,6.0,4,7,-0.5466905230476159
2,6.0,4,5,-0.7405062085779126
2,6.0,4,2,-0.5989588280253251
2,6.0,4,9,-0.5953833522061777
2,6.0,4,0,-0.6645635978830295
2,6.0,4,1,-0.7405062083754678
2,6.0,4,3,-0.4096245559906797
2,6.0,4,4,-0.4900607049669367
2,6.0,4,6,-0.5989588280527899
2,6.0,4,8,-0.5476779508288206
2,6.0,6,7,-0.6733266956045582
2,6.0,6,5,-0.8919795922413308
2,6.0,6,2,-0.8919795913813421
2,6.0,6,9,-0.6786955937154132
2,6.0,6,0,-0.678695593422239
2,6.0,6,1,-0.7221930555502717
2,6.0,6,3,-0.4540788393273064
2,6.0,6,4,-0.6733266949919932
2,6.0,6,6,-0.7110045859499831
2,6.0,6,8,-0.7221930555941768
2,6.0,0,7,-0.6255883152721449
2,6.0,0,5,-0.7813450582220719
2,6.0,0,2,-0.7813450581285715
2,6.0,0,9,-0.688048997547936
2,6.0,0,0,-0.6880489957236805
2,6.0,0,1,-0.6255883134070273
2,6.0,0,3,-0.7815943524472341
2,6.0,0,4,-0.6785426384532881
2,6.0,0,6,-0.7815943525031945
2,6.0,0,8,-0.6255883129992862
2,6.0,7,7,-0.8902596793588262
2,6.0,7,5,-0.7787274799179144
2,6.0,7,2,-0.9169453345077948
2,6.0,7,9,-0.7856920339957073
2,6.0,7,0,-0.7856920340086867
