num_of_intervals,total_time,target_state_seed,init_seed,final_cost
11,4.0,4,7,-0.9999999999725872
11,4.0,4,5,-0.9969677890668448
11,4.0,4,2,-0.9999999995699762
11,4.0,4,9,-0.9999999999712677
11,4.0,4,0,-0.9900948680822118
11,4.0,4,1,-0.99999999993626
11,4.0,4,3,-0.9999999999900376
11,4.0,4,4,-0.999999999596441
11,4.0,4,6,-0.999999999802289
11,4.0,4,8,-0.9995857230226206
11,4.0,6,7,-0.9999999991671512
11,4.0,6,5,-0.9999999990885424
11,4.0,6,2,-0.9999999999807392
11,4.0,6,9,-0.9974439732490282
11,4.0,6,0,-0.9999999996712798
11,4.0,6,1,-0.999999999762452
11,4.0,6,3,-0.9944048582536428
11,4.0,6,4,-0.999999999885944
11,4.0,6,6,-0.9957054166245723
11,4.0,6,8,-0.999999999082928
11,4.0,0,7,-0.99946612509065
11,4.0,0,5,-0.9999999996262744
11,4.0,0,2,-0.8513590493322628
11,4.0,0,9,-0.9756071009079564
11,4.0,0,0,-0.999999999927662
11,4.0,0,1,-0.8861539728071262
11,4.0,0,3,-0.9975500815376268
11,4.0,0,4,-0.999999999355628
11,4.0,0,6,-0.8439284118101442
11,4.0,0,8,-0.980111096102375
11,4.0,7,7,-0.9587447133436277
11,4.0,7,5,-0.9999999996576744
11,4.0,7,2,-0.9719104371408264
11,4.0,7,9,-0.9924114048020568
11,4.0,7,0,-0.7986952588666771
11,4.0,7,1,-0.9562095503791176
11,4.0,7,3,-0.9487888472316518
11,4.0,7,4,-0.9621155937623876
11,4.0,7,6,-0.8247823348350881
11,4.0,7,8,-0.9940570597932048
11,4.0,3,7,-0.9989761877895332
11,4.0,3,5,-0.999999999822384
11,4.0,3,2,-0.9999999999855012
11,4.0,3,9,-0.9999999997889152
11,4.0,3,0,-0.9852642302399685
11,4.0,3,1,-0.9999999997173444
11,4.0,3,3,-0.998976843131065
11,4.0,3,4,-0.9973660572366464
11,4.0,3,6,-0.9999999999666592
11,4.0,3,8,-0.9999999991604738
11,4.0,9,7,-0.9999999999894178
11,4.0,9,5,-0.9616011370695138
11,4.0,9,2,-0.999999999976187
11,4.0,9,9,-0.9999999999571372
11,4.0,9,0,-0.9394653263439342
11,4.0,9,1,-0.999999999982078
11,4.0,9,3,-0.9999999999533982
11,4.0,9,4,-0.9999999993358608
11,4.0,9,6,-0.9981287476426792
11,4.0,9,8,-0.8652812645853217
11,4.0,1,7,-0.9999999996224622
11,4.0,1,5,-0.999999999483106
11,4.0,1,2,-0.9867144350392054
11,4.0,1,9,-0.9999999982278852
11,4.0,1,0,-0.9922297643959844
11,4.0,1,1,-0.977100626549447
11,4.0,1,3,-0.9452688385428996
11,4.0,1,4,-0.9999999999806084
11,4.0,1,6,-0.999999999792913
11,4.0,1,8,-0.9708123254440708
11,4.0,2,7,-0.9999999998632074
11,4.0,2,5,-0.9969656170939932
11,4.0,2,2,-0.99999999996207
11,4.0,2,9,-0.95629681691965
11,4.0,2,0,-0.9811204982456272
11,4.0,2,1,-0.970191218837803
11,4.0,2,3,-0.9867658972219318
11,4.0,2,4,-0.9999999993800566
11,4.0,2,6,-0.999999998964998
11,4.0,2,8,-0.910033507286956
11,4.0,5,7,-0.999501300808986
11,4.0,5,5,-0.9999999998799444
11,4.0,5,2,-0.9999999999142676
11,4.0,5,9,-0.999728043744029
11,4.0,5,0,-0.9422373360323504
11,4.0,5,1,-0.999999999714257
11,4.0,5,3,-0.999999999825116
11,4.0,5,4,-0.9999999999983062
11,4.0,5,6,-0.9999999997019609
11,4.0,5,8,-0.9999999999356884
11,4.0,8,7,-0.9999999998777532
11,4.0,8,5,-0.9999999998830592
11,4.0,8,2,-0.999999999928721
11,4.0,8,9,-0.9998720591435242
11,4.0,8,0,-0.9999999993895335
11,4.0,8,1,-0.9655194526924952
11,4.0,8,3,-0.9999999999419776
11,4.0,8,4,-0.999999999871231
11,4.0,8,6,-0.9999999999909994
11,4.0,8,8,-0.9999999997445764
11,15.0,4,7,-0.99133190016937
11,15.0,4,5,-0.9899495843675497
11,15.0,4,2,-0.9932742919304596
11,15.0,4,9,-0.9936620844507016
11,15.0,4,0,-0.9810346901009316
11,15.0,4,1,-0.9958063481112902
11,15.0,4,3,-0.99769029685523
11,15.0,4,4,-0.9963064137960992
11,15.0,4,6,-0.9903584991599772
11,15.0,4,8,-0.9986422289645264
11,15.0,6,7,-0.997108172141674
11,15.0,6,5,-0.9987670669902412
11,15.0,6,2,-0.9951431408192176
11,15.0,6,9,-0.9907608538123682
11,15.0,6,0,-0.984267667032472
11,15.0,6,1,-0.9735575321392926
11,15.0,6,3,-0.9986087932302532
11,15.0,6,4,-0.9957972676803618
11,15.0,6,6,-0.997541197325303
11,15.0,6,8,-0.9959664871848832
11,15.0,0,7,-0.9805309710248482
11,15.0,0,5,-0.9759689483737808
11,15.0,0,2,-0.990148219441215
11,15.0,0,9,-0.9873893819854328
11,15.0,0,0,-0.9901860345261818
11,15.0,0,1,-0.9896543677558658
11,15.0,0,3,-0.9998800550751128
11,15.0,0,4,-0.9989032584500224
11,15.0,0,6,-0.9937135038002352
11,15.0,0,8,-0.9980262023964104
11,15.0,7,7,-0.9986720004053172
11,15.0,7,5,-0.9911448875720236
11,15.0,7,2,-0.9974017957244876
11,15.0,7,9,-0.9982568800021648
11,15.0,7,0,-0.9907684859346756
11,15.0,7,1,-0.9919566410479091
11,15.0,7,3,-0.997088546934263
11,15.0,7,4,-0.9984020404208231
11,15.0,7,6,-0.9939321880461404
11,15.0,7,8,-0.9990167685223184
11,15.0,3,7,-0.9992021707554032
11,15.0,3,5,-0.9940952101405632
11,15.0,3,2,-0.9830316260524352
11,15.0,3,9,-0.9910007175303248
11,15.0,3,0,-0.9995783333179528
11,15.0,3,1,-0.996628127764806
11,15.0,3,3,-0.997653928745799
11,15.0,3,4,-0.9909646129490544
11,15.0,3,6,-0.9991328476172068
11,15.0,3,8,-0.9988718280250168
11,15.0,9,7,-0.97697863061584
11,15.0,9,5,-0.9820430779097428
11,15.0,9,2,-0.9979472662624962
11,15.0,9,9,-0.9955564289753166
11,15.0,9,0,-0.9916619883178788
11,15.0,9,1,-0.9995015567778286
11,15.0,9,3,-0.997869288365333
11,15.0,9,4,-0.997729216005969
11,15.0,9,6,-0.993785090207277
11,15.0,9,8,-0.9959318400824468
11,15.0,1,7,-0.9991946624837996
11,15.0,1,5,-0.989144503594996
11,15.0,1,2,-0.9791456553129936
11,15.0,1,9,-0.9918369007956374
11,15.0,1,0,-0.9967529855383592
11,15.0,1,1,-0.964215041327662
11,15.0,1,3,-0.9963410792482248
11,15.0,1,4,-0.998944369998436
11,15.0,1,6,-0.99402103415216
11,15.0,1,8,-0.9968371309286912
11,15.0,2,7,-0.998883344882294
11,15.0,2,5,-0.9973826821822755
11,15.0,2,2,-0.990673595424128
11,15.0,2,9,-0.999000812536682
11,15.0,2,0,-0.9954479425998785
11,15.0,2,1,-0.9987705435652529
11,15.0,2,3,-0.9967286547317288
11,15.0,2,4,-0.9850934132848432
11,15.0,2,6,-0.9965798424405384
11,15.0,2,8,-0.9929120607829868
11,15.0,5,7,-0.9955331293067512
11,15.0,5,5,-0.9886036091736424
11,15.0,5,2,-0.998227806382211
11,15.0,5,9,-0.996289329026412
11,15.0,5,0,-0.998325506847484
11,15.0,5,1,-0.9914442461074496
11,15.0,5,3,-0.9898298813156008
11,15.0,5,4,-0.9959963577730264
