,unitary
0,"Operator([[ 0.90789321-0.17879381j, -0.32994755+0.1868082j ],
          [ 0.37614096+0.04775633j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.90789321-0.17879381j, -0.20463059-0.31920058j],
          [ 0.06832276-0.372954j  ,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.90789321-0.17879381j, -0.28331652+0.25198103j],
          [ 0.35770279+0.1257434j ,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.90789321-0.17879381j,  0.29393632+0.23950809j],
          [-0.18117636+0.33307329j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.90789321-0.17879381j, -0.25993477-0.27603732j],
          [ 0.13586323-0.35398287j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 9.07893213e-01-0.17879381j,  8.94979759e-04-0.37915945j],
          [-1.44590440e-01-0.35050862j,  9.07893213e-01-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.90789321-0.17879381j, -0.37834148+0.02490808j],
          [ 0.35953523-0.12040393j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.90789321-0.17879381j,  0.37854573+0.02158275j],
          [-0.34209674+0.16350078j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.90789321-0.17879381j, -0.2727171 +0.26341616j],
          [ 0.35223057+0.14034356j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.90789321-0.17879381j, -0.27092438-0.26525962j],
          [ 0.15011874-0.34817676j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
