,unitary
0,"Operator([[ 0.97517033-0.0978434j , -0.19862132-0.0043675j ],
          [ 0.19379443-0.04374041j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.97517033-0.0978434j , -0.14158405-0.13936808j],
          [ 0.11107363-0.1647184j ,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.97517033-0.0978434j , -0.04632809-0.19319216j],
          [ 0.00702325-0.19854515j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.97517033-0.0978434j ,  0.06095147-0.1890884j ],
          [-0.09730256-0.17321003j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.97517033-0.0978434j , 0.01983384+0.19767681j],
          [0.01983384+0.19767681j, 0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.97517033-0.0978434j , -0.10603327-0.16800729j],
          [ 0.07054177-0.18572389j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.97517033-0.0978434j ,  0.00734273-0.19853359j],
          [-0.0466389 -0.19311736j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.97517033-0.0978434j ,  0.09441071-0.17480309j],
          [-0.12725679-0.15256216j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.97517033-0.0978434j ,  0.07084755-0.18560746j],
          [-0.10630983-0.16783243j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.97517033-0.0978434j ,  0.00355704-0.19863749j],
          [-0.04294931-0.19397129j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
