,unitary
0,"Operator([[ 0.87775053-0.20089548j,  0.33227407+0.2806937j ],
          [-0.17710314+0.3972776j ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.87775053-0.20089548j,  0.42251265-0.10333476j],
          [-0.42539735+0.09073096j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.87775053-0.20089548j, -0.36251857+0.24036493j],
          [ 0.43097926+0.05875282j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.87775053-0.20089548j, -0.38433874-0.20366333j],
          [ 0.25749017-0.35056216j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.87775053-0.20089548j,  0.2893956 +0.32472327j],
          [-0.11934199+0.41827324j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.87775053-0.20089548j, -0.16565873-0.40218429j],
          [-0.02576938-0.43420151j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.87775053-0.20089548j, -0.05729795-0.43117509j],
          [-0.13595253-0.413173j  ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.87775053-0.20089548j,  0.43248222+0.04641277j],
          [-0.36923941+0.2299071j ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.87775053-0.20089548j, -0.40086378+0.16882904j],
          [ 0.43439144-0.02234031j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.87775053-0.20089548j,  0.39163378+0.18925643j],
          [-0.27032548+0.3407626j ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
