unitary
"Operator([[ 0.96135264-0.1207989j , -0.20517926-0.13823961j],
          [ 0.16459971-0.18470424j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24673031+0.01824482j],
          [ 0.2435739 -0.04336443j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24443632-0.03820478j],
          [ 0.22738537-0.09749159j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.21841624-0.1162027j ],
          [ 0.1828772 -0.16662728j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.14554613+0.2000626j ],
          [ 0.19051773+0.15783445j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
