,unitary
0,"Operator([[ 0.96939523-0.10815603j,  0.20489633+0.0811952j ],
          [-0.18196271+0.1243573j ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.96939523-0.10815603j, -0.171495  +0.13843638j],
          [ 0.19778901+0.09723513j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.96939523-0.10815603j,  0.07973331+0.20546962j],
          [-0.03248764+0.21799018j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96939523-0.10815603j, -0.21655772+0.04096239j],
          [ 0.22026061-0.0077737j ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96939523-0.10815603j, -0.1774513 -0.1307142j ],
          [ 0.14427867-0.16660982j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.96939523-0.10815603j, -0.21781218-0.03366034j],
          [ 0.20503754-0.08083795j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.96939523-0.10815603j, -0.06986703-0.20903053j],
          [ 0.02207915-0.21928903j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96939523-0.10815603j, -0.0647397 -0.21067495j],
          [ 0.01671547-0.21976296j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.96939523-0.10815603j, 0.02466509+0.21901324j],
          [0.02421145+0.21906385j, 0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.96939523-0.10815603j,  0.0420417 -0.21635078j],
          [-0.08869112-0.20176484j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
