,unitary
0,"Operator([[ 0.94460909-0.1427637j , -0.04221804-0.29248903j],
          [-0.04610399-0.29190172j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.94460909-0.1427637j ,  0.29144028-0.04893625j],
          [-0.29288518+0.03937591j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.94460909-0.1427637j ,  0.29289226-0.03932325j],
          [-0.29143148+0.04898864j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.94460909-0.1427637j ,  0.29147381-0.04873615j],
          [-0.29285808+0.03957697j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.94460909-0.1427637j , -0.24518421-0.16497544j],
          [ 0.18547984-0.23006395j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.94460909-0.1427637j , -0.23937608+0.17329537j],
          [ 0.27989699+0.09481492j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.94460909-0.1427637j ,  0.29412436-0.02868887j],
          [-0.28946588+0.05951217j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.94460909-0.1427637j , -0.20991274+0.20801162j],
          [ 0.26200894+0.13668763j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.94460909-0.1427637j ,  0.20945299+0.20847455j],
          [-0.13848965+0.26106093j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
