,unitary
0,"Operator([[ 0.93202842-0.25417701j, -0.20345043-0.15544866j,
            0.00604652+0.03352836j],
          [ 0.15600929-0.20302085j,  0.93212221+0.00595407j,
           -0.20345043-0.15544866j],
          [-0.00586146-0.03356121j,  0.15600929-0.20302085j,
            0.93202842-0.25417701j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.93409691-0.25454457j,  0.19939189+0.14795582j,
            0.00655532+0.03128899j],
          [-0.15403959+0.19473021j,  0.936308  +0.00558772j,
            0.19939189+0.14795582j],
          [-0.00461227-0.03163385j, -0.15403959+0.19473021j,
            0.93409691-0.25454457j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.95896268-0.25895879j,  0.03196783+0.11074253j,
           -0.00597236+0.00306688j],
          [-0.00205972+0.11524586j,  0.986624  +0.00117552j,
            0.03196783+0.11074253j],
          [-0.00666273-0.00082637j, -0.00205972+0.11524586j,
            0.95896268-0.25895879j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 9.50103607e-01-0.257387j  ,  8.69649964e-04+0.17552056j,
           -1.56638068e-02-0.00121945j],
          [ 4.48186327e-02+0.1697042j ,  9.68698092e-01+0.00274921j,
            8.69649964e-04+0.17552056j],
          [-1.42887775e-02+0.00653244j,  4.48186327e-02+0.1697042j ,
            9.50103607e-01-0.257387j  ]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 9.62167343e-01-0.25952712j, -5.29849046e-02-0.06372057j,
           -9.26448905e-04+0.00333273j],
          [ 3.45851143e-02-0.0753099j ,  9.93108358e-01+0.00060579j,
           -5.29849046e-02-0.06372057j],
          [-2.01577580e-03-0.00281106j,  3.45851143e-02-0.0753099j ,
            9.62167343e-01-0.25952712j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.93592458-0.25486929j, -0.19910165-0.13615665j,
            0.00842757+0.02890866j],
          [ 0.15682868-0.18326175j,  0.94000643+0.00526393j,
           -0.19910165-0.13615665j],
          [-0.00203456-0.03004322j,  0.15682868-0.18326175j,
            0.93592458-0.25486929j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.96072163-0.25927075j, -0.03558007+0.09220854j,
           -0.00334643-0.00361669j],
          [ 0.05834146+0.07977863j,  0.99018309+0.00086284j,
           -0.03558007+0.09220854j],
          [-0.00189893+0.00454677j,  0.05834146+0.07977863j,
            0.96072163-0.25927075j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 9.37265305e-01-0.25510746j,  1.57728976e-01-0.1753537j ,
           -5.23329473e-04-0.02874555j],
          [-1.97913829e-01-0.12828665j,  9.42719490e-01+0.00502636j,
            1.57728976e-01-0.1753537j ],
          [ 9.39954255e-03+0.02717037j, -1.97913829e-01-0.12828665j,
            9.37265305e-01-0.25510746j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.93822428-0.25527781j,  0.13006638-0.19204075j,
           -0.00801264-0.02659552j],
          [-0.17554438-0.15159513j,  0.94466004+0.00485641j,
            0.13006638-0.19204075j],
          [ 0.00162742+0.0277286j , -0.17554438-0.15159513j,
            0.93822428-0.25527781j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.94856304-0.25711358j, -0.01044995+0.18361129j,
           -0.016927  -0.00345417j],
          [ 0.05785319+0.1745718j ,  0.96558078+0.00302267j,
           -0.01044995+0.18361129j],
          [-0.01470613+0.00906556j,  0.05785319+0.1745718j ,
            0.94856304-0.25711358j]],
         input_dims=(3,), output_dims=(3,))"
