unitary
"Operator([[ 0.94460909-0.1427637j , -0.29230032-0.04350535j],
          [ 0.26638845-0.1279429j ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.28482525+0.07878307j],
          [ 0.29538594-0.00890728j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.29360645+0.03357747j],
          [ 0.29041577-0.05468885j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.29547351-0.0052536j ],
          [-0.28382917+0.08229944j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.05732731-0.28990649j],
          [-0.1404401 -0.26001687j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
