unitary
"Operator([[ 0.94460909-0.1427637j , -0.29543837-0.00695443j],
          [ 0.28018788-0.09395183j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.29347131-0.03473881j],
          [-0.29062987+0.05353945j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.28589459-0.07480959j],
          [-0.29523328+0.01301929j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.22048556-0.19676969j],
          [-0.26878732-0.12282332j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.14161989+0.25937618j],
          [ 0.21194555+0.20593999j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
