unitary
"Operator([[ 0.96135264-0.1207989j , -0.17840649-0.17140549j],
          [ 0.13045387-0.21021538j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.04553871-0.24317678j],
          [-0.10428592-0.22435054j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.24536152-0.03172448j],
          [-0.24558259+0.02996517j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.18848923+0.16025145j],
          [-0.14298271+0.20190261j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.1625009 +0.18655342j],
          [ 0.20360319+0.14055056j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.18408309+0.16529409j],
          [ 0.2192548 +0.11461261j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.23089917-0.08884982j],
          [ 0.20173928-0.14321306j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.12623194-0.21277739j],
          [ 0.06966573-0.23739294j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
