,unitary
0,"Operator([[ 0.99230021-0.05518458j, -0.06756227-0.08792211j],
          [ 0.05739662-0.09487142j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.99230021-0.05518458j, -0.05996761-0.09326759j],
          [ 0.04925606-0.09934182j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.99230021-0.05518458j, -0.05607105-0.09566083j],
          [ 0.04511816-0.10128825j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.99230021-0.05518458j, -0.05403967-0.09682288j],
          [ 0.04297046-0.10221789j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.99230021-0.05518458j, -0.05510096-0.09622287j],
          [ 0.04409174-0.10173925j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.99230021-0.05518458j, -0.04936567-0.0992874j ],
          [ 0.03805201-0.10414894j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.99230021-0.05518458j, -0.04543213-0.10114781j],
          [ 0.03393644-0.10556171j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.99230021-0.05518458j, -0.04158666-0.10278865j],
          [ 0.02993274-0.10676605j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.99230021-0.05518458j, -0.04172981-0.10273062j],
          [ 0.03008144-0.10672424j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.99230021-0.05518458j, -0.04558639-0.10107838j],
          [ 0.03409745-0.10550982j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
