,unitary
0,"Operator([[ 0.9486572 -0.25713029j,  0.02406301+0.18182226j,
           -0.01691612+0.00300073j],
          [ 0.02406301+0.18182226j,  0.96577132+0.00300596j,
            0.02406301+0.18182226j],
          [-0.01691612+0.00300073j,  0.02406301+0.18182226j,
            0.9486572 -0.25713029j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.9486572 -0.25713029j,  0.02406301+0.18182226j,
           -0.01691612+0.00300073j],
          [ 0.02406301+0.18182226j,  0.96577132+0.00300596j,
            0.02406301+0.18182226j],
          [-0.01691612+0.00300073j,  0.02406301+0.18182226j,
            0.9486572 -0.25713029j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.9486572 -0.25713029j,  0.02406301+0.18182226j,
           -0.01691612+0.00300073j],
          [ 0.02406301+0.18182226j,  0.96577132+0.00300596j,
            0.02406301+0.18182226j],
          [-0.01691612+0.00300073j,  0.02406301+0.18182226j,
            0.9486572 -0.25713029j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.9486572 -0.25713029j,  0.02406301+0.18182226j,
           -0.01691612+0.00300073j],
          [ 0.02406301+0.18182226j,  0.96577132+0.00300596j,
            0.02406301+0.18182226j],
          [-0.01691612+0.00300073j,  0.02406301+0.18182226j,
            0.9486572 -0.25713029j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.9486572 -0.25713029j,  0.02406301+0.18182226j,
           -0.01691612+0.00300073j],
          [ 0.02406301+0.18182226j,  0.96577132+0.00300596j,
            0.02406301+0.18182226j],
          [-0.01691612+0.00300073j,  0.02406301+0.18182226j,
            0.9486572 -0.25713029j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.9486572 -0.25713029j,  0.02406301+0.18182226j,
           -0.01691612+0.00300073j],
          [ 0.02406301+0.18182226j,  0.96577132+0.00300596j,
            0.02406301+0.18182226j],
          [-0.01691612+0.00300073j,  0.02406301+0.18182226j,
            0.9486572 -0.25713029j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.94867003-0.25713256j,  0.02405405+0.18175454j,
           -0.0169033 +0.00299846j],
          [ 0.02405405+0.18175454j,  0.96579727+0.00300368j,
            0.02405405+0.18175454j],
          [-0.0169033 +0.00299846j,  0.02405405+0.18175454j,
            0.94867003-0.25713256j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.9486572 -0.25713029j,  0.02406301+0.18182226j,
           -0.01691612+0.00300073j],
          [ 0.02406301+0.18182226j,  0.96577132+0.00300596j,
            0.02406301+0.18182226j],
          [-0.01691612+0.00300073j,  0.02406301+0.18182226j,
            0.9486572 -0.25713029j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 9.65501209e-01-2.60118237e-01j,
            1.58481128e-03+1.19749761e-02j,
           -7.21181032e-05+1.27854311e-05j],
          [ 1.58481128e-03+1.19749761e-02j,
            9.99854078e-01+1.28297693e-05j,
            1.58481128e-03+1.19749761e-02j],
          [-7.21181032e-05+1.27854311e-05j,
            1.58481128e-03+1.19749761e-02j,
            9.65501209e-01-2.60118237e-01j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.9486572 -0.25713029j,  0.02406301+0.18182226j,
           -0.01691612+0.00300073j],
          [ 0.02406301+0.18182226j,  0.96577132+0.00300596j,
            0.02406301+0.18182226j],
          [-0.01691612+0.00300073j,  0.02406301+0.18182226j,
            0.9486572 -0.25713029j]],
         input_dims=(3,), output_dims=(3,))"
