,unitary
0,"Operator([[ 0.94460909-0.1427637j , -0.28406467-0.08148287j],
          [ 0.24729751-0.16179041j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.94460909-0.1427637j ,  0.10584855-0.27591353j],
          [-0.182659  -0.23230988j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[0.94460909-0.1427637j , 0.04049572+0.29273245j],
          [0.04782131+0.2916253j , 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.94460909-0.1427637j , -0.10769249-0.27519905j],
          [ 0.02155569-0.29473301j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.94460909-0.1427637j ,  0.28465496-0.07939613j],
          [-0.29540443+0.00827128j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.94460909-0.1427637j ,  0.21918643-0.19821579j],
          [-0.26797357-0.12458876j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.94460909-0.1427637j ,  0.24264206-0.1686921j ],
          [-0.28165674-0.08945208j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.94460909-0.1427637j ,  0.1284533 -0.26614271j],
          [-0.20136667-0.2162953j ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.94460909-0.1427637j ,  0.26006017+0.1403599j ],
          [-0.20696578+0.21094397j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.94460909-0.1427637j , -0.07957082-0.28460618j],
          [-0.00808996-0.29540945j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
