unitary
"Operator([[0.92502524-0.16355243j, 0.05961423+0.33767595j],
          [0.05978836+0.33764517j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j,  0.34227333+0.0206851j ],
          [-0.31442935+0.13679579j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.06515012-0.3366517j ],
          [-0.05423688-0.33858126j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.08197541+0.33295486j],
          [ 0.19117496+0.28465952j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.30765828-0.151411j  ],
          [ 0.23708729-0.24772671j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
