,unitary
0,"Operator([[0.95240675-0.13313589j, 0.03796368+0.27157868j],
          [0.03796368+0.27157868j, 0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.95240675-0.13313589j,  0.24991951+0.11285592j],
          [-0.20939212+0.17706258j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.95240675-0.13313589j, -0.10982087-0.25126797j],
          [ 0.03670861-0.27175117j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.95240675-0.13313589j, -0.09823154+0.25602106j],
          [ 0.16467197+0.21927007j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.95240675-0.13313589j, -0.25838874-0.09182309j],
          [ 0.22330431-0.15915843j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.95240675-0.13313589j, -0.00287395+0.27420423j],
          [ 0.07795587+0.26290512j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
