,unitary
0,"Operator([[ 0.85030065-0.2171174j , -0.03208805+0.4783505j ],
          [ 0.25749336+0.40440823j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.85030065-0.2171174j , -0.39295668-0.27465231j],
          [ 0.2131766 -0.42942355j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.85030065-0.2171174j , -0.04002054+0.47775224j],
          [ 0.26416795+0.40008017j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.85030065-0.2171174j ,  0.23688758+0.41681305j],
          [-0.00805759+0.47935782j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.85030065-0.2171174j , -0.44536535-0.17747831j],
          [ 0.30575723-0.36927139j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.85030065-0.2171174j , -0.29353099-0.37906253j],
          [ 0.07586542-0.47338492j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.85030065-0.2171174j , -0.47548547-0.0613385j ],
          [ 0.38787052-0.28178947j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.85030065-0.2171174j ,  0.1191459 -0.46438465j],
          [-0.32719823-0.35041428j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
