,unitary
0,"Operator([[ 0.9586668 -0.25890631j, -0.01545501-0.1167794j ,
           -0.00690653+0.00122471j],
          [-0.01545501-0.1167794j ,  0.98602531+0.0012281j ,
           -0.01545501-0.1167794j ],
          [-0.00690653+0.00122471j, -0.01545501-0.1167794j ,
            0.9586668 -0.25890631j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 9.65566214e-01-2.60129762e-01j,
           -4.97745765e-04-3.76101162e-03j,
           -7.11337326e-06+1.26108889e-06j],
          [-4.97745765e-04-3.76101162e-03j,
            9.99985607e-01+1.26547053e-06j,
           -4.97745765e-04-3.76101162e-03j],
          [-7.11337326e-06+1.26108889e-06j,
           -4.97745765e-04-3.76101162e-03j,
            9.65566214e-01-2.60129762e-01j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.96083399-0.25929068j,  0.09248594-0.03145743j,
            0.00405736-0.00258946j],
          [-0.09748501-0.00631599j,  0.99041045+0.00084286j,
            0.09248594-0.03145743j],
          [ 0.00470031+0.00103661j, -0.09748501-0.00631599j,
            0.96083399-0.25929068j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 9.65376561e-01-2.60096139e-01j,
            2.61760370e-03+1.97788482e-02j,
           -1.96766922e-04+3.48839013e-05j],
          [ 2.61760370e-03+1.97788482e-02j,
            9.99601865e-01+3.50044318e-05j,
            2.61760370e-03+1.97788482e-02j],
          [-1.96766922e-04+3.48839013e-05j,
            2.61760370e-03+1.97788482e-02j,
            9.65376561e-01-2.60096139e-01j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.95367989-0.25802163j, -0.02022926-0.15285409j,
           -0.01189343+0.00210939j],
          [-0.02022926-0.15285409j,  0.9759346 +0.00211416j,
           -0.02022926-0.15285409j],
          [-0.01189343+0.00210939j, -0.02022926-0.15285409j,
            0.95367989-0.25802163j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.95418904-0.25811197j,  0.10448631+0.10885963j,
           -0.001483  +0.01146644j],
          [-0.07257143+0.13229208j,  0.97696484+0.00202372j,
            0.10448631+0.10885963j],
          [-0.00533577-0.0102571j , -0.07257143+0.13229208j,
            0.95418904-0.25811197j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.94558555-0.25658503j,  0.10331235+0.1701369j ,
           -0.01090203+0.01712399j],
          [-0.05549776+0.1911544j ,  0.95955582+0.00355104j,
            0.10331235+0.1701369j ],
          [-0.01612719-0.01232879j, -0.05549776+0.1911544j ,
            0.94558555-0.25658503j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 9.59206423e-01-0.25900202j, -8.14116690e-02+0.07855774j,
            7.95497254e-04-0.00641711j],
          [ 9.90442426e-02+0.05467556j,  9.87117197e-01+0.00113219j,
           -8.14116690e-02+0.07855774j],
          [ 2.95342572e-03+0.00575234j,  9.90442426e-02+0.05467556j,
            9.59206423e-01-0.25900202j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.9488252 -0.25716011j, -0.1724562 +0.05974074j,
            0.01423393-0.00931244j],
          [ 0.18205953+0.01282286j,  0.96611125+0.00297614j,
           -0.1724562 +0.05974074j],
          [ 0.01656851+0.00384846j,  0.18205953+0.01282286j,
            0.9488252 -0.25716011j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.94467371-0.25642314j, -0.11394445-0.16853746j,
           -0.00960137+0.0189303j ],
          [ 0.0661799 -0.19237576j,  0.9577107 +0.00371281j,
           -0.11394445-0.16853746j],
          [-0.01552742-0.0144721j ,  0.0661799 -0.19237576j,
            0.94467371-0.25642314j]],
         input_dims=(3,), output_dims=(3,))"
10,"Operator([[ 9.63864014e-01-0.25982797j, -4.49316767e-02+0.03786449j,
            4.42905827e-04-0.00167852j],
          [ 5.32345573e-02+0.02487282j,  9.96541398e-01+0.00030405j,
           -4.49316767e-02+0.03786449j],
          [ 9.92957128e-04+0.00142395j,  5.32345573e-02+0.02487282j,
            9.63864014e-01-0.25982797j]],
         input_dims=(3,), output_dims=(3,))"
11,"Operator([[ 0.94661173-0.2567672j ,  0.15997961+0.10969276j,
            0.00534288+0.01850165j],
          [-0.12593756+0.14753206j,  0.96163231+0.00336897j,
            0.15997961+0.10969276j],
          [-0.00134732-0.01921047j, -0.12593756+0.14753206j,
            0.94661173-0.2567672j ]],
         input_dims=(3,), output_dims=(3,))"
