unitary
"Operator([[ 0.85030065-0.2171174j , -0.47905343-0.01888542j],
          [ 0.41135478-0.24624396j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.38969277+0.27926401j],
          [ 0.47587388+0.05824856j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47459783-0.06786562j],
          [ 0.38396227-0.28709201j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.44547117-0.17721254j],
          [-0.47589795+0.05805162j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.17184215-0.44757024j],
          [-0.36538228-0.31039432j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.45163128+0.16086651j],
          [ 0.47346725-0.07534993j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.17954766+0.44453513j],
          [0.0555536 +0.47619601j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.4523928 +0.15871233j],
          [ 0.47310277-0.07760549j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.29717445+0.37621296j],
          [ 0.44116122+0.18768491j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.1753048 -0.44622536j],
          [-0.36777627-0.307554j  ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
