,unitary
0,"Operator([[ 0.94460909-0.1427637j , -0.13022952+0.26527809j],
          [ 0.20280805+0.21494439j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.94460909-0.1427637j ,  0.16524579-0.24500209j],
          [-0.2302684 -0.18522596j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.94460909-0.1427637j , -0.29550412-0.00308325j],
          [ 0.28139471-0.09027298j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.94460909-0.1427637j , -0.29495509+0.01826711j],
          [ 0.28717966-0.06971396j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.94460909-0.1427637j , -0.19616586-0.22102296j],
          [ 0.12208765-0.26912227j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.94460909-0.1427637j , -0.29282513+0.03982006j],
          [ 0.29151416-0.04849418j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.94460909-0.1427637j , -0.21855253-0.19891452j],
          [ 0.15000794-0.25461699j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.94460909-0.1427637j , -0.2785282 -0.09876352j],
          [ 0.23690154-0.17666311j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.94460909-0.1427637j , 0.05751966+0.28986839j],
          [0.03071133+0.29392007j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.94460909-0.1427637j ,  0.16384614-0.24594031j],
          [-0.22920852-0.18653591j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
