,unitary
0,"Operator([[0.92502524-0.16355243j, 0.10645663+0.32595382j],
          [0.0117664 +0.34269587j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.92502524-0.16355243j, 0.1050803 +0.32640012j],
          [0.01321232+0.34264317j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.92502524-0.16355243j, -0.26973528+0.21171156j],
          [ 0.32597739+0.10638443j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.92502524-0.16355243j, -0.32456742-0.11061148j],
          [ 0.26696134-0.21519886j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.92502524-0.16355243j, 0.10205091+0.32735992j],
          [0.01638716+0.34250601j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.92502524-0.16355243j,  0.19281465+0.28355143j],
          [-0.08389566+0.3324762j ,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.92502524-0.16355243j,  0.28267919-0.19409116j],
          [-0.33209456-0.08539387j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[0.92502524-0.16355243j, 0.09633638+0.32908693j],
          [0.02234742+0.34216882j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.92502524-0.16355243j, -0.29260309-0.17878014j],
          [ 0.21356004-0.26827414j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.92502524-0.16355243j,  0.23143551+0.25301485j],
          [-0.13064596+0.31703397j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
