,unitary
0,"Operator([[ 0.90789321-0.17879381j,  0.22443627+0.30559949j],
          [-0.09180656+0.36787803j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.90789321-0.17879381j,  0.30198387+0.22927807j],
          [-0.19250182+0.32665844j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.90789321-0.17879381j, -0.06661839+0.37326221j],
          [ 0.20317035+0.320132j  ,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.90789321-0.17879381j,  0.30743282+0.22191833j],
          [-0.20033443+0.32191428j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.90789321-0.17879381j, -0.22472309-0.30538864j],
          [ 0.09215191-0.36779167j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.90789321-0.17879381j, -0.23297543+0.29914066j],
          [ 0.3290017 +0.18846902j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.90789321-0.17879381j,  0.20389923+0.31966825j],
          [-0.06746869+0.37310945j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.90789321-0.17879381j,  0.35564384+0.13145398j],
          [-0.27924608+0.25648453j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.90789321-0.17879381j,  0.37429528+0.0605453j ],
          [-0.32339061+0.19794242j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.90789321-0.17879381j, -0.34449949-0.15837547j],
          [ 0.25872631-0.27717032j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
