unitary
"Operator([[0.75939449-0.25285985j, 0.18939058+0.56878214j],
          [0.18939058+0.56878214j, 0.75939449-0.25285985j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.75939449-0.25285985j, -0.16464817-0.57643117j],
          [-0.21377954-0.56007162j,  0.75939449-0.25285985j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.75939449-0.25285985j, -0.58666165+0.12332892j],
          [ 0.54348969-0.25298392j,  0.75939449-0.25285985j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.75939449-0.25285985j, -0.27619395-0.53207031j],
          [-0.09790618-0.59143579j,  0.75939449-0.25285985j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.75939449-0.25285985j,  0.58950124+0.10895045j],
          [-0.40651454+0.44059941j,  0.75939449-0.25285985j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.75939449-0.25285985j, -0.23248585-0.55256876j],
          [-0.14517805-0.58164013j,  0.75939449-0.25285985j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.75939449-0.25285985j,  0.06907852-0.59549145j],
          [-0.41227751-0.43521163j,  0.75939449-0.25285985j]],
         input_dims=(2,), output_dims=(2,))"
