unitary
"Operator([[ 0.96135264-0.1207989j , -0.02906309+0.24569098j],
          [ 0.08894451+0.23086272j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.04883833-0.24253564j],
          [-0.01268422-0.24707859j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.96135264-0.1207989j , 0.02199726+0.24642411j],
          [0.03965288+0.24420559j, 0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.1533602 +0.1941375j ],
          [-0.10056221+0.22604416j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.19000734-0.15844851j],
          [ 0.14489968-0.2005313j ,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.14382617-0.20130264j],
          [-0.18915803-0.15946146j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.21460131+0.12310564j],
          [ 0.23838669+0.06618537j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.2382778 +0.06657636j],
          [-0.21439906+0.12345753j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.14859592+0.19780792j],
          [ 0.19291489+0.15489533j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.10993961-0.22163484j],
          [ 0.05168852-0.24194424j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
