,unitary
0,"Operator([[ 0.89131376-0.32635153j,  0.24104059+0.19579423j,
            0.00469767+0.05095541j],
          [-0.16066625+0.26574858j,  0.89832701+0.01169142j,
            0.24104059+0.19579423j],
          [-0.01844467-0.04773171j, -0.16066625+0.26574858j,
            0.89131376-0.32635153j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.91600891-0.33214797j,  0.03833895+0.22015817j,
           -0.02512484+0.00588645j],
          [ 0.03833895+0.22015817j,  0.94872869+0.00590625j,
            0.03833895+0.22015817j],
          [-0.02512484+0.00588645j,  0.03833895+0.22015817j,
            0.91600891-0.33214797j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.92792256-0.33494053j, -0.00609326-0.16295192j,
           -0.01355775-0.00054308j],
          [-0.04934879-0.15541928j,  0.97304133+0.00310816j,
           -0.00609326-0.16295192j],
          [-0.01190683+0.00650654j, -0.04934879-0.15541928j,
            0.92792256-0.33494053j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.89060238-0.32618439j, -0.26322922-0.16866439j,
            0.01616024+0.04932229j],
          [ 0.19071953-0.24771629j,  0.89687502+0.01185776j,
           -0.26322922-0.16866439j],
          [-0.00745166-0.05136453j,  0.19071953-0.24771629j,
            0.89060238-0.32618439j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.91256936-0.33134128j,  0.0428534 +0.23395081j,
           -0.02844288+0.00719199j],
          [ 0.03875265+0.23466493j,  0.94170916+0.00671322j,
            0.0428534 +0.23395081j],
          [-0.02867715+0.00619223j,  0.03875265+0.23466493j,
            0.91256936-0.33134128j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.91243983-0.3313109j , -0.0215786 -0.23738672j,
           -0.02940569+0.00196255j],
          [-0.05993653-0.23070697j,  0.94144481+0.0067436j ,
           -0.0215786 -0.23738672j],
          [-0.02721656+0.0113051j , -0.05993653-0.23070697j,
            0.91243983-0.3313109j ]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.92140534-0.3334132j ,  0.0698859 -0.185885j  ,
           -0.01361524-0.01500636j],
          [-0.12860751-0.1513188j ,  0.9597416 +0.00463939j,
            0.0698859 -0.185885j  ],
          [-0.00553429+0.01949198j, -0.12860751-0.1513188j ,
            0.92140534-0.3334132j ]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.91575771-0.33208906j, -0.13718087+0.17778297j,
           -0.00368128-0.02580191j],
          [ 0.18920231+0.1209457j ,  0.94821604+0.0059652j ,
           -0.13718087+0.17778297j],
          [ 0.00816298+0.02475189j,  0.18920231+0.1209457j ,
            0.91575771-0.33208906j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.93051785-0.33554855j, -0.13816113-0.04833565j,
            0.0076904 +0.00772882j],
          [ 0.11368899-0.09219353j,  0.97833741+0.00249801j,
           -0.13816113-0.04833565j],
          [ 0.00345939-0.01033971j,  0.11368899-0.09219353j,
            0.93051785-0.33554855j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.9025776 -0.32899671j,  0.21972858+0.16512402j,
            0.00659467+0.03904827j],
          [-0.15097638+0.22967961j,  0.9213169 +0.00905523j,
            0.21972858+0.16512402j],
          [-0.01144495-0.03791135j, -0.15097638+0.22967961j,
            0.9025776 -0.32899671j]],
         input_dims=(3,), output_dims=(3,))"
