,unitary
0,"Operator([[ 0.97517033-0.0978434j , -0.18694441-0.06724054j],
          [ 0.16985933-0.10304033j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.97517033-0.0978434j ,  0.08961784-0.17730805j],
          [-0.12305712-0.15596938j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.97517033-0.0978434j ,  0.05574958-0.19068688j],
          [-0.09252194-0.17581011j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.97517033-0.0978434j ,  0.15507504-0.12418226j],
          [-0.17665507-0.09089823j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.97517033-0.0978434j , -0.10079531-0.17120108j],
          [ 0.06477371-0.18781339j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.97517033-0.0978434j ,  0.15549098-0.12366106j],
          [-0.17695917-0.09030478j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.97517033-0.0978434j ,  0.17130452+0.1006194j ],
          [-0.14789985+0.13264666j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.97517033-0.0978434j ,  0.13343797-0.14718631j],
          [-0.1600195 -0.11774235j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.97517033-0.0978434j ,  0.0485269 -0.19265161j],
          [-0.08583356-0.1791706j ,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.97517033-0.0978434j , -0.07615535-0.1834935j ],
          [ 0.03818279-0.19496558j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
