unitary
"Operator([[ 0.77168651-0.2493213j , -0.34150477-0.47509295j],
          [-0.00102782-0.58509637j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.77168651-0.2493213j , 0.14951728+0.56567075j],
          [0.20971942+0.54622027j, 0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.47164762+0.34624752j],
          [-0.17990034+0.5567537j ,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.44088696+0.38465245j],
          [ 0.58260216+0.05397719j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.18141186-0.55626303j],
          [-0.17834965-0.55725239j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.19637156-0.55115971j],
          [-0.16323195-0.56186666j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.54229377-0.21967312j],
          [ 0.31125011-0.49544141j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.35203726-0.46734205j],
          [-0.55892979-0.17302113j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
