unitary
"Operator([[ 0.96135264-0.1207989j , -0.21028367+0.13034377j],
          [ 0.23599402+0.07426669j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.11177038-0.22071724j],
          [ 0.05368939-0.24150811j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.14349509+0.20153878j],
          [ 0.18889567+0.15977217j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.19415241+0.15334132j],
          [-0.15017943+0.19660838j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.08486361-0.23239382j],
          [ 0.02473026-0.24616485j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
