,unitary
0,"Operator([[ 0.89922713-0.35169002j,  0.09548848+0.23954441j,
           -0.02792348+0.02062524j],
          [-0.00281072+0.2578598j ,  0.93109018+0.00848073j,
            0.09548848+0.23954441j],
          [-0.03435429-0.0049904j , -0.00281072+0.2578598j ,
            0.89922713-0.35169002j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.91239358-0.35499797j,  0.00461397+0.20259872j,
           -0.02107654-0.00162673j],
          [ 0.06866013+0.19066545j,  0.95803874+0.00516907j,
            0.00461397+0.20259872j],
          [-0.01781157+0.01138484j,  0.06866013+0.19066545j,
            0.91239358-0.35499797j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.91413852-0.35543612j,  0.18821144-0.04709924j,
            0.0180464 -0.00695466j],
          [-0.19254437+0.02384427j,  0.96161004+0.00472972j,
            0.18821144-0.04709924j],
          [ 0.01919201-0.0023889j , -0.19254437+0.02384427j,
            0.91413852-0.35543612j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.8931897 -0.35017208j,  0.08478832-0.26594459j,
           -0.0302423 -0.02759533j],
          [-0.17487683-0.21756304j,  0.91873222+0.00999724j,
            0.08478832-0.26594459j],
          [-0.01361797+0.03860894j, -0.17487683-0.21756304j,
            0.8931897 -0.35017208j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.89239298-0.34997171j, -0.07837451+0.27068055j,
           -0.03231274-0.02645615j],
          [ 0.17059903+0.22429109j,  0.9171014 +0.01019726j,
           -0.07837451+0.27068055j],
          [-0.01598042+0.03858324j,  0.17059903+0.22429109j,
            0.89239298-0.34997171j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.92988387-0.35938725j,  0.07690224-0.01527055j,
            0.0029946 -0.0008266j ],
          [-0.07724146+0.01344994j,  0.99383355+0.00076057j,
            0.07690224-0.01527055j],
          [ 0.00303029-0.00068426j, -0.07724146+0.01344994j,
            0.92988387-0.35938725j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.90533388-0.35322469j,  0.18569591-0.14252131j,
            0.01064879-0.02634766j],
          [-0.22456322-0.06608067j,  0.94358951+0.0069455j ,
            0.18569591-0.14252131j],
          [ 0.02182894+0.01819597j, -0.22456322-0.06608067j,
            0.90533388-0.35322469j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.89182833-0.3498297j , -0.08262761+0.2713689j ,
           -0.03201466-0.0277141j ],
          [ 0.17481464+0.22340153j,  0.91594558+0.01033901j,
           -0.08262761+0.2713689j ],
          [-0.01512301+0.03955129j,  0.17481464+0.22340153j,
            0.89182833-0.3498297j ]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.90257851-0.35253233j, -0.04490324-0.24099697j,
           -0.03031864+0.00761055j],
          [-0.04490324-0.24099697j,  0.93794988+0.00763836j,
           -0.04490324-0.24099697j],
          [-0.03031864+0.00761055j, -0.04490324-0.24099697j,
            0.90257851-0.35253233j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.9004106 -0.35198749j,  0.05781388+0.24678173j,
           -0.03160191+0.01109981j],
          [ 0.03494229+0.25104323j,  0.93351256+0.00818331j,
            0.05781388+0.24678173j],
          [-0.03309749+0.00514226j,  0.03494229+0.25104323j,
            0.9004106 -0.35198749j]],
         input_dims=(3,), output_dims=(3,))"
10,"Operator([[ 0.91993225-0.35689053j,  0.08814284-0.13566862j,
           -0.00389701-0.01278592j],
          [-0.13108829-0.09482085j,  0.97346753+0.0032702j ,
            0.08814284-0.13566862j],
          [ 0.00259956+0.0131114j , -0.13108829-0.09482085j,
            0.91993225-0.35689053j]],
         input_dims=(3,), output_dims=(3,))"
11,"Operator([[ 0.90106839-0.35215282j, -0.04597077-0.24672643j,
           -0.03182877+0.00799007j],
          [-0.04597077-0.24672643j,  0.93485893+0.00801798j,
           -0.04597077-0.24672643j],
          [-0.03182877+0.00799007j, -0.04597077-0.24672643j,
            0.90106839-0.35215282j]],
         input_dims=(3,), output_dims=(3,))"
12,"Operator([[ 0.92896688-0.35915727j,  0.08089265-0.0382956j ,
            0.00293257-0.00279617j],
          [-0.08925641-0.00659295j,  0.99195699+0.00099196j,
            0.08089265-0.0382956j ],
          [ 0.00390499+0.00108147j, -0.08925641-0.00659295j,
            0.92896688-0.35915727j]],
         input_dims=(3,), output_dims=(3,))"
13,"Operator([[ 0.86972133-0.3442649j , -0.28616036-0.19732064j,
            0.01556349+0.06325403j],
          [ 0.19589456-0.28713848j,  0.87069023+0.0158796j ,
           -0.28616036-0.19732064j],
          [-0.01619208-0.06309605j,  0.19589456-0.28713848j,
            0.86972133-0.3442649j ]],
         input_dims=(3,), output_dims=(3,))"
14,"Operator([[ 0.93061068-0.35956953j, -0.01251465-0.06716651j,
           -0.00228647+0.00057336j],
          [-0.01251465-0.06716651j,  0.99532093+0.00057714j,
           -0.01251465-0.06716651j],
          [-0.00228647+0.00057336j, -0.01251465-0.06716651j,
            0.93061068-0.35956953j]],
         input_dims=(3,), output_dims=(3,))"
15,"Operator([[ 0.92049527-0.35703183j, -0.12215224+0.10065823j,
            0.00396111-0.0121571j ],
          [ 0.15020682+0.04991152j,  0.97461978+0.00312831j,
           -0.12215224+0.10065823j],
          [ 0.00923031+0.00884799j,  0.15020682+0.04991152j,
            0.92049527-0.35703183j]],
         input_dims=(3,), output_dims=(3,))"
16,"Operator([[ 0.91932618-0.35673841j,  0.14308204-0.08311945j,
            0.00836552-0.01121516j],
          [-0.16341571-0.02601192j,  0.97222716+0.00342293j,
            0.14308204-0.08311945j],
          [ 0.01266874+0.00593842j, -0.16341571-0.02601192j,
            0.91932618-0.35673841j]],
         input_dims=(3,), output_dims=(3,))"
17,"Operator([[ 0.87951324-0.34673091j, -0.24563975-0.20703991j,
            0.00263272+0.05497992j],
          [ 0.15459267-0.28161235j,  0.89073614+0.01342769j,
           -0.24563975-0.20703991j],
          [-0.02366559-0.04969571j,  0.15459267-0.28161235j,
            0.87951324-0.34673091j]],
         input_dims=(3,), output_dims=(3,))"
18,"Operator([[ 0.87386968-0.34530986j, -0.27397139-0.19582722j,
            0.01253406+0.05955803j],
          [ 0.18506135-0.28135551j,  0.87918285+0.01484128j,
           -0.27397139-0.19582722j],
          [-0.0171097 -0.05840822j,  0.18506135-0.28135551j,
            0.87386968-0.34530986j]],
         input_dims=(3,), output_dims=(3,))"
19,"Operator([[ 0.90075556-0.35207419j,  0.23867583-0.08135623j,
            0.02851578-0.01688301j],
          [-0.25195988+0.0100604j ,  0.93421864+0.00809661j,
            0.23867583-0.08135623j],
          [ 0.03310874+0.00141304j, -0.25195988+0.0100604j ,
            0.90075556-0.35207419j]],
         input_dims=(3,), output_dims=(3,))"
