,unitary
0,"Operator([[ 0.9027011 -0.18298657j, -0.20390156+0.33176919j],
          [ 0.31700278+0.22617666j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9027011 -0.18298657j,  0.14786203-0.36025472j],
          [-0.27647974-0.27423639j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9027011 -0.18298657j,  0.14348334-0.36202096j],
          [-0.27313451-0.27756834j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9027011 -0.18298657j, -0.38789333-0.03442981j],
          [ 0.34386581-0.18276473j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9027011 -0.18298657j, -0.32944538-0.20763522j],
          [ 0.22258233-0.31953678j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[0.9027011 -0.18298657j, 0.07068675+0.38294912j],
          [0.0840206 +0.38024621j, 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9027011 -0.18298657j, -0.30721667-0.23930016j],
          [ 0.18977742-0.34004585j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
