,unitary
0,"Operator([[ 0.99230021-0.05518458j,  0.1051516 -0.03518663j],
          [-0.10840477-0.02331016j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.99230021-0.05518458j, 0.00224354+0.11085993j],
          [0.01006273+0.11042508j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.99230021-0.05518458j,  0.10790362-0.02552971j],
          [-0.11006903-0.01340765j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.99230021-0.05518458j, -0.09558732+0.05619628j],
          [ 0.10122907+0.04525078j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.99230021-0.05518458j, -0.06680993+0.08849514j],
          [ 0.07621052+0.08054138j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.99230021-0.05518458j,  0.07789139-0.07891697j],
          [-0.0861616 -0.06979353j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.99230021-0.05518458j,  0.05152884-0.09818216j],
          [-0.06209778-0.09186307j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.99230021-0.05518458j,  0.09390088-0.05897103j],
          [-0.0998607 -0.04819541j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.99230021-0.05518458j,  0.06129622+0.09239984j],
          [-0.0506727 +0.09862674j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.99230021-0.05518458j,  0.02237381-0.10860189j],
          [-0.0342779 -0.10545133j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
