,unitary
0,"Operator([[ 0.9318629 -0.1567647j ,  0.32716208-0.00461971j],
          [-0.31066563+0.10268027j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9318629 -0.1567647j , -0.13806234+0.29663978j],
          [ 0.22752193+0.23513856j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9318629 -0.1567647j ,  0.32483787+0.0392011j ],
          [-0.29413141+0.14332858j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9318629 -0.1567647j , -0.17040818+0.27931599j],
          [ 0.2524191 +0.20818493j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9318629 -0.1567647j , -0.2398467 +0.2225532j ],
          [ 0.29946304+0.13182663j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9318629 -0.1567647j ,  0.07725276-0.31794399j],
          [-0.17703012-0.27516669j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9318629 -0.1567647j , -0.14140929-0.29505895j],
          [ 0.03708396-0.32508637j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9318629 -0.1567647j ,  0.30622553-0.11524883j],
          [-0.32707875-0.00870981j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.9318629 -0.1567647j , 0.08987684+0.31460852j],
          [0.0180085 +0.32669874j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9318629 -0.1567647j , -0.29585948-0.13972665j],
          [ 0.23385665-0.22883933j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
