unitary
"Operator([[ 0.96135264-0.1207989j , -0.13626098+0.20649858j],
          [ 0.18311352+0.16636754j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.22066864+0.1118663j ],
          [ 0.24148475+0.05379435j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.2377623 -0.0683945j ],
          [ 0.21344978-0.12509161j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.07133843-0.23689565j],
          [ 0.01051177-0.24718054j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.14777522+0.19842178j],
          [-0.09409091+0.22881351j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.16979243-0.17994235j],
          [ 0.11999554-0.2163557j ,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.03406662-0.24504731j],
          [-0.09363325-0.22900117j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.24734614+0.00534832j],
          [-0.23833355+0.06637647j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.12862574+0.21133892j],
          [-0.072341  +0.23659142j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.13724193+0.20584793j],
          [ 0.183903  +0.16549442j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
