unitary
"Operator([[0.94460909-0.1427637j , 0.08379933+0.28338995j],
          [0.0036909 +0.29549716j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.07016475+0.28706985j],
          [0.017804  +0.29498341j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.03802235+0.29306397j],
          [0.05028219+0.29121108j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
