unitary
"Operator([[ 0.96135264-0.1207989j , -0.20651316+0.13623888j],
          [ 0.23379921+0.08091137j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.17489466-0.17498736j],
          [-0.21275018-0.12627779j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.2451804 -0.0330952j ],
          [ 0.22937045-0.09272495j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24737378-0.0038645j ],
          [ 0.23872743-0.06494562j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.21186666-0.1277546j ],
          [ 0.17367324-0.17619967j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.2457924 -0.02819246j],
          [ 0.23117638-0.08812604j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.23038675-0.09017021j],
          [ 0.20091611-0.14436563j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24693944+0.01515362j],
          [ 0.24301176-0.04641126j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.96135264-0.1207989j , 0.03598719+0.24477263j],
          [0.02568929+0.24606662j, 0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.07282571-0.23644267j],
          [-0.12905858-0.21107487j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
