,unitary
0,"Operator([[ 0.98599146-0.07408833j, -0.13936505-0.05393643j],
          [ 0.12973997-0.07415724j,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.98599146-0.07408833j, -0.11894499-0.0904646j ],
          [ 0.10409051-0.1072237j ,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.98599146-0.07408833j, -0.08448019-0.1232674j ],
          [ 0.06511072-0.13450781j,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.98599146-0.07408833j, -0.03693298-0.14480231j],
          [ 0.01487928-0.14869554j,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.98599146-0.07408833j, -0.00251023+0.14941705j],
          [ 0.02481065+0.14736413j,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.98599146-0.07408833j, -0.05448596-0.13915113j],
          [ 0.03307965-0.14573089j,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.98599146-0.07408833j, -0.02043707-0.14803405j],
          [-0.00191434-0.14942587j,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 9.85991463e-01-0.07408833j,  6.16210000e-04-0.14943686j],
          [-2.29408562e-02-0.14766676j,  9.85991463e-01-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.98599146-0.07408833j,  0.02418332-0.14746838j],
          [-0.04594917-0.14219856j,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.98599146-0.07408833j,  0.01942731-0.14816995j],
          [-0.0413514 -0.14360298j,  0.98599146-0.07408833j]],
         input_dims=(2,), output_dims=(2,))"
