,unitary
0,"Operator([[ 0.95240675-0.13313589j,  0.24400251-0.1251359j ],
          [-0.26896389-0.05342889j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.95240675-0.13313589j, 0.03749071+0.27164437j],
          [0.03843654+0.27151216j, 0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.95240675-0.13313589j,  0.25094028-0.11056761j],
          [-0.2716408 -0.03751658j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.95240675-0.13313589j, -0.23729417+0.13743251j],
          [ 0.26588466+0.06709369j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.95240675-0.13313589j, -0.14681562+0.23160612j],
          [ 0.20469863+0.18246833j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.95240675-0.13313589j,  0.17237258-0.21326957j],
          [-0.22424769-0.15782646j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.95240675-0.13313589j,  0.10521805-0.25322989j],
          [-0.17062527-0.21467006j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.95240675-0.13313589j,  0.19598136-0.19180075j],
          [-0.24106431-0.13070661j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.95240675-0.13313589j,  0.20707282+0.17976948j],
          [-0.14983888+0.22966177j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.95240675-0.13313589j,  0.02158018-0.27336883j],
          [-0.09571595-0.25697213j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
