unitary
"Operator([[ 0.97517033-0.0978434j , -0.18386297-0.07525896j],
          [ 0.1652463 -0.11028673j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.18698793-0.06711944j],
          [ 0.16992604-0.10293028j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.10918382+0.16597709j],
          [-0.07403286+0.18436008j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.19185404-0.05159003j],
          [ 0.17778037-0.08867717j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.06731807-0.18691651j],
          [ 0.02884161-0.19656466j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
