unitary
"Operator([[ 0.94460909-0.1427637j , -0.28532667+0.07694729j],
          [ 0.29532246-0.01080924j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.29218316+0.04428536j],
          [ 0.29222045-0.04403861j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.04273383-0.29241411j],
          [-0.12723947-0.26672516j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.18980177-0.22651154j],
          [-0.2482633 -0.16030448j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.26325293+0.13427616j],
          [-0.21181381+0.20607547j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.0955321 -0.27965302j],
          [-0.17390842-0.23893107j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.13579888-0.26247068j],
          [-0.20729902-0.2106165j ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.2592306 +0.14188619j],
          [-0.20572221+0.21215693j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.21666398+0.20096993j],
          [-0.14759633+0.25602249j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.02900284+0.29409357j],
          [0.05920312+0.28952924j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
