unitary
"Operator([[ 0.94460909-0.1427637j , -0.29437035-0.02604398j],
          [ 0.27352622-0.11187315j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.03411096-0.29354495j],
          [-0.05416102-0.29051467j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.12072235-0.26973748j],
          [-0.19504334-0.22201416j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.27774811-0.10093652j],
          [-0.29517168-0.01434816j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.19869678+0.21875051j],
          [ 0.25446748+0.15026143j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.27727792+0.10222108j],
          [ 0.29510211+0.0157143j ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.20653463-0.21136613j],
          [-0.25977303-0.14089062j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.28740599+0.06877492j],
          [ 0.29489381-0.01923109j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.28210315+0.0880341j ],
          [-0.24348758+0.16746937j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
