,unitary
0,"Operator([[0.95240675-0.13313589j, 0.06879341+0.26544997j],
          [0.00663514+0.274139j  , 0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.95240675-0.13313589j,  0.2741336 -0.00685491j],
          [-0.26550503+0.06858058j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.95240675-0.13313589j, -0.26488032+0.07095517j],
          [ 0.27418399-0.00440003j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.95240675-0.13313589j, -0.22177674-0.16128018j],
          [ 0.16904928-0.21591332j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.95240675-0.13313589j, 0.07307788+0.26430256j],
          [0.00220026+0.27421046j, 0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.95240675-0.13313589j, -0.06198131-0.2671227j ],
          [-0.01364481-0.2738796j ,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.95240675-0.13313589j, -0.07250882-0.26445924j],
          [-0.00279048-0.27420509j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.95240675-0.13313589j,  0.2321226 +0.14599766j],
          [-0.18318931+0.20405366j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.95240675-0.13313589j, -0.27101465-0.04180047j],
          [ 0.2491634 -0.11451559j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.95240675-0.13313589j,  0.13775535+0.2371069j ],
          [-0.06745552+0.2657931j ,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
