unitary
"Operator([[ 0.79938141-0.2399973j , -0.42199718-0.35399017j],
          [ 0.15723103-0.52789115j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.54347411+0.089591j  ],
          [ 0.50294802-0.22457503j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.55002771-0.02932887j],
          [ 0.44291571-0.32743906j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j ,  0.53605267+0.126642j  ],
          [-0.37765075+0.40096206j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j ,  0.26244113-0.48426781j],
          [-0.48578068-0.2596301j ,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.54968782+0.03512784j],
          [ 0.47813537-0.27345426j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
