,unitary
0,"Operator([[ 0.99230021-0.05518458j,  0.02359927-0.1083422j ],
          [-0.03546702-0.10505736j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.99230021-0.05518458j,  0.0243774 -0.10816977j],
          [-0.03622123-0.10479971j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.99230021-0.05518458j,  0.02095782-0.10888401j],
          [-0.03290193-0.10588872j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.99230021-0.05518458j,  0.0229869 -0.10847377j],
          [-0.03487301-0.10525602j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.99230021-0.05518458j,  0.02707515-0.10752625j],
          [-0.03883098-0.10386102j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.99230021-0.05518458j,  0.04301758-0.10219807j],
          [-0.0540843 -0.09679796j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.99230021-0.05518458j,  0.03401265-0.10553718j],
          [-0.04550515-0.10111498j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.99230021-0.05518458j,  0.02936903-0.10692248j],
          [-0.04104377-0.10300663j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.99230021-0.05518458j,  0.04308216-0.10217086j],
          [-0.05414547-0.09676376j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.99230021-0.05518458j,  0.03111459-0.10642763j],
          [-0.04272369-0.10232128j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
