,unitary
0,"Operator([[ 0.81515945-0.48418531j,  0.29948337-0.09278309j,
            0.04801375-0.0218025j ],
          [-0.3055621 +0.07021965j,  0.89613967+0.01832235j,
            0.29948337-0.09278309j],
          [ 0.05071976-0.01442828j, -0.3055621 +0.07021965j,
            0.81515945-0.48418531j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.8608949 -0.50097071j, -0.01517631-0.08741788j,
           -0.00395677+0.00067341j],
          [-0.03079207-0.08321091j,  0.99209557+0.00139929j,
           -0.01517631-0.08741788j],
          [-0.00345562+0.00204161j, -0.03079207-0.08321091j,
            0.8608949 -0.50097071j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.83043854-0.48979988j, -0.20247855+0.16775413j,
            0.012905  -0.03409336j],
          [ 0.25934733+0.04333558j,  0.9282032 +0.01268084j,
           -0.20247855+0.16775413j],
          [ 0.03188689+0.01766698j,  0.25934733+0.04333558j,
            0.83043854-0.48979988j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.75809409-0.46315011j, -0.24939189+0.3683683j ,
           -0.02330353-0.11113393j],
          [ 0.40069035+0.1932324j ,  0.77632087+0.0392793j ,
           -0.24939189+0.3683683j ],
          [ 0.05426684+0.09974424j,  0.40069035+0.1932324j ,
            0.75809409-0.46315011j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.76766284-0.46668478j,  0.23073966-0.35913373j,
           -0.02603696-0.10001667j],
          [-0.37992345-0.19461757j,  0.79641966+0.03577816j,
            0.23073966-0.35913373j],
          [ 0.04495579+0.09306039j, -0.37992345-0.19461757j,
            0.76766284-0.46668478j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.84451133-0.49496492j, -0.19941921-0.0397699j ,
            0.01808512+0.01155868j],
          [ 0.1524521 -0.13456606j,  0.95772898+0.00747392j,
           -0.19941921-0.0397699j ],
          [ 0.00633205-0.02050804j,  0.1524521 -0.13456606j,
            0.84451133-0.49496492j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.84746125-0.49604687j,  0.13324188+0.13288292j,
           -0.0031419 +0.01804984j],
          [-0.04845553+0.18183325j,  0.9639174 +0.00638116j,
            0.13324188+0.13288292j],
          [-0.01406113-0.01174534j, -0.04845553+0.18183325j,
            0.84746125-0.49604687j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.75674545-0.46265168j, -0.21704261+0.39110083j,
           -0.04304714-0.10662712j],
          [ 0.38413882+0.22913909j,  0.77348785+0.03977233j,
           -0.21704261+0.39110083j],
          [ 0.03631315+0.10910432j,  0.38413882+0.22913909j,
            0.75674545-0.46265168j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.84221551-0.49412271j,  0.20108204-0.07423057j,
            0.02060076-0.01213415j],
          [-0.21115815+0.03682932j,  0.95291258+0.00832407j,
            0.20108204-0.07423057j],
          [ 0.02356255-0.00405404j, -0.21115815+0.03682932j,
            0.84221551-0.49412271j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.81946243-0.48576724j,  0.14127918-0.26501607j,
           -0.01948202-0.0440299j ],
          [-0.25529011-0.15817801j,  0.90517032+0.0167348j ,
            0.14127918-0.26501607j],
          [ 0.0136159 +0.04618212j, -0.25529011-0.15817801j,
            0.81946243-0.48576724j]],
         input_dims=(3,), output_dims=(3,))"
10,"Operator([[ 0.75444354-0.46180079j,  0.22071485-0.39376022j,
           -0.0430412 -0.10927155j],
          [-0.38865002-0.22959381j,  0.76865221+0.04061359j,
            0.22071485-0.39376022j],
          [ 0.03803864+0.11111201j, -0.38865002-0.22959381j,
            0.75444354-0.46180079j]],
         input_dims=(3,), output_dims=(3,))"
11,"Operator([[ 0.80609111-0.48084958j, -0.18819154+0.28229713j,
           -0.01363627-0.0608861j ],
          [ 0.30453469+0.14955385j,  0.87710614+0.02166476j,
           -0.18819154+0.28229713j],
          [ 0.02899564+0.05524779j,  0.30453469+0.14955385j,
            0.80609111-0.48084958j]],
         input_dims=(3,), output_dims=(3,))"
12,"Operator([[ 0.77177998-0.46820469j, -0.36220547-0.21012821j,
            0.03350572+0.09311678j],
          [ 0.20762777-0.36364457j,  0.8050666 +0.03427008j,
           -0.36220547-0.21012821j],
          [-0.03478559-0.09264626j,  0.20762777-0.36364457j,
            0.77177998-0.46820469j]],
         input_dims=(3,), output_dims=(3,))"
13,"Operator([[ 7.96045324e-01-0.47715128j, -3.43663372e-01-0.12324962j,
            4.75234256e-02+0.05554313j],
          [ 2.35238653e-01-0.27920917j,  8.56017987e-01+0.02536221j,
           -3.43663372e-01-0.12324962j],
          [ 2.80092039e-04-0.07309882j,  2.35238653e-01-0.27920917j,
            7.96045324e-01-0.47715128j]],
         input_dims=(3,), output_dims=(3,))"
14,"Operator([[ 0.78781288-0.47411814j, -0.32477369-0.20586829j,
            0.02157174+0.07897982j],
          [ 0.17740184-0.34115728j,  0.83873399+0.02838808j,
           -0.32477369-0.20586829j],
          [-0.0346883 -0.07416114j,  0.17740184-0.34115728j,
            0.78781288-0.47411814j]],
         input_dims=(3,), output_dims=(3,))"
15,"Operator([[ 0.80473247-0.48034959j,  0.14712253-0.30975645j,
           -0.03113756-0.05573395j],
          [-0.28281802-0.19392799j,  0.87425426+0.02216514j,
            0.14712253-0.30975645j],
          [ 0.0123199 +0.06264217j, -0.28281802-0.19392799j,
            0.80473247-0.48034959j]],
         input_dims=(3,), output_dims=(3,))"
16,"Operator([[ 0.80863281-0.48178479j,  0.07941469+0.32268757j,
           -0.05687585+0.01809902j],
          [ 0.09343548+0.31891029j,  0.88244116+0.02072839j,
            0.07941469+0.32268757j],
          [-0.05507896+0.02299444j,  0.09343548+0.31891029j,
            0.80863281-0.48178479j]],
         input_dims=(3,), output_dims=(3,))"
17,"Operator([[ 0.83319414-0.49081172j, -0.21702453-0.12910556j,
            0.01062764+0.03178908j],
          [ 0.1227969 -0.22065542j,  0.93398512+0.01166208j,
           -0.21702453-0.12910556j],
          [-0.01244165-0.0311239j ,  0.1227969 -0.22065542j,
            0.83319414-0.49081172j]],
         input_dims=(3,), output_dims=(3,))"
