,unitary
0,"Operator([[ 0.91244   -0.33131094j, -0.06430063-0.22952823j,
           -0.02676814+0.01232897j],
          [-0.01707295-0.23775259j,  0.94144515+0.00674356j,
           -0.06430063-0.22952823j],
          [-0.0294588 +0.00084605j, -0.01707295-0.23775259j,
            0.91244   -0.33131094j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.90273893-0.32903458j,  0.19338959+0.19453526j,
           -0.00474004+0.0391496j ],
          [-0.11624586+0.24845604j,  0.92164618+0.00901744j,
            0.19338959+0.19453526j],
          [-0.02164391-0.03296513j, -0.11624586+0.24845604j,
            0.90273893-0.32903458j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.91621582-0.33219649j, -0.13928114+0.1736083j ,
           -0.00265313-0.02545477j],
          [ 0.18976776+0.11630681j,  0.94915095+0.00585769j,
           -0.13928114+0.1736083j ],
          [ 0.00892975+0.02398425j,  0.18976776+0.11630681j,
            0.91621582-0.33219649j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.88814003-0.3256058j , -0.18898721+0.25789373j,
           -0.01036102-0.05343645j],
          [ 0.2650392 +0.17882831j,  0.89184905+0.01243342j,
           -0.18898721+0.25789373j],
          [ 0.01447746+0.05247102j,  0.2650392 +0.17882831j,
            0.88814003-0.3256058j ]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.92482897-0.33421563j, -0.16964667-0.0626967j ,
            0.01139054+0.01227537j],
          [ 0.13846656-0.11635239j,  0.96672827+0.00383517j,
           -0.16964667-0.0626967j ],
          [ 0.00475478-0.01605681j,  0.13846656-0.11635239j,
            0.92482897-0.33421563j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.91166991-0.3311303j , -0.15241032-0.18725921j,
           -0.00949447+0.02873395j],
          [ 0.08013844-0.2277559j ,  0.93987351+0.00692418j,
           -0.15241032-0.18725921j],
          [-0.02127135-0.02152474j,  0.08013844-0.2277559j ,
            0.91166991-0.3311303j ]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.93306051-0.33614412j,  0.07793928+0.1013012j ,
           -0.0030296 +0.00771829j],
          [-0.03910799+0.12168414j,  0.98352603+0.00190003j,
            0.07793928+0.1013012j ],
          [-0.0061412 -0.00557101j, -0.03910799+0.12168414j,
            0.93306051-0.33614412j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.91993571-0.33306868j, -0.07660075-0.1908975j ,
           -0.01735235+0.01314957j],
          [ 0.00756162-0.20555377j,  0.95674244+0.00498449j,
           -0.07660075-0.1908975j ],
          [-0.02138721-0.00407466j,  0.00756162-0.20555377j,
            0.91993571-0.33306868j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.9134236 -0.33154165j,  0.02039076-0.23347735j,
           -0.0272812 -0.00810831j],
          [-0.09811381-0.21284064j,  0.94345253+0.00651284j,
            0.02039076-0.23347735j],
          [-0.02083959+0.0193835j , -0.09811381-0.21284064j,
            0.9134236 -0.33154165j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.90929259-0.33057258j,  0.12935305+0.21472541j,
           -0.0184943 +0.02697219j],
          [-0.04915394+0.24581112j,  0.93502171+0.00748164j,
            0.12935305+0.21472541j],
          [-0.02855224-0.01594704j, -0.04915394+0.24581112j,
            0.90929259-0.33057258j]],
         input_dims=(3,), output_dims=(3,))"
10,"Operator([[ 0.92386051-0.33398866j, -0.18232018+0.03712067j,
            0.01701528-0.00502127j],
          [ 0.18413574-0.02669498j,  0.96475194+0.0040627j ,
           -0.18232018+0.03712067j],
          [ 0.01747531-0.00305716j,  0.18413574-0.02669498j,
            0.92386051-0.33398866j]],
         input_dims=(3,), output_dims=(3,))"
11,"Operator([[ 0.89620068-0.32749944j, -0.22425643-0.19273697j,
            0.00167769+0.04612105j],
          [ 0.14590356-0.25719766j,  0.90830158+0.0105482j ,
           -0.22425643-0.19273697j],
          [-0.01899725-0.04206032j,  0.14590356-0.25719766j,
            0.89620068-0.32749944j]],
         input_dims=(3,), output_dims=(3,))"
12,"Operator([[ 0.92579221-0.33444136j, -0.15016922-0.09087737j,
            0.00566269+0.01470397j],
          [ 0.11060964-0.13629012j,  0.96869396+0.00360884j,
           -0.15016922-0.09087737j],
          [-0.00145555-0.0156893j ,  0.11060964-0.13629012j,
            0.92579221-0.33444136j]],
         input_dims=(3,), output_dims=(3,))"
13,"Operator([[ 0.91106923-0.33098939j,  0.24333436+0.01528942j,
            0.02999276+0.00734454j],
          [-0.22384183+0.09664478j,  0.93864761+0.00706505j,
            0.24333436+0.01528942j],
          [ 0.02360744-0.01990469j, -0.22384183+0.09664478j,
            0.91106923-0.33098939j]],
         input_dims=(3,), output_dims=(3,))"
14,"Operator([[ 0.9176372 -0.33252979j, -0.21206882-0.04254804j,
            0.02105331+0.01179605j],
          [ 0.18520242-0.11172995j,  0.9520517 +0.00552409j,
           -0.21206882-0.04254804j],
          [ 0.0136231 -0.01991983j,  0.18520242-0.11172995j,
            0.9176372 -0.33252979j]],
         input_dims=(3,), output_dims=(3,))"
15,"Operator([[ 0.91481886-0.33186889j, -0.05312969-0.22229766j,
           -0.02534675+0.0093824j ],
          [-0.02514212-0.22717149j,  0.94630001+0.0061855j ,
           -0.05312969-0.22229766j],
          [-0.02687648+0.00285341j, -0.02514212-0.22717149j,
            0.91481886-0.33186889j]],
         input_dims=(3,), output_dims=(3,))"
16,"Operator([[ 0.92826759-0.33502137j,  0.01127283+0.16055613j,
           -0.01320999+0.00033564j],
          [ 0.04366426+0.1549154j ,  0.97374542+0.00302705j,
            0.01127283+0.16055613j],
          [-0.01198543+0.00556471j,  0.04366426+0.1549154j ,
            0.92826759-0.33502137j]],
         input_dims=(3,), output_dims=(3,))"
17,"Operator([[ 0.89367998-0.32690739j, -0.26414856-0.14939047j,
            0.0201801 +0.04436704j],
          [ 0.19810001-0.22988772j,  0.90315668+0.01113798j,
           -0.26414856-0.14939047j],
          [-0.00164545-0.04871307j,  0.19810001-0.22988772j,
            0.89367998-0.32690739j]],
         input_dims=(3,), output_dims=(3,))"
18,"Operator([[ 0.92036475-0.33316926j,  0.20060796+0.03504832j,
            0.01910768+0.00948248j],
          [-0.17695138+0.10079755j,  0.95761802+0.00488375j,
            0.20060796+0.03504832j],
          [ 0.0129083 -0.01698224j, -0.17695138+0.10079755j,
            0.92036475-0.33316926j]],
         input_dims=(3,), output_dims=(3,))"
19,"Operator([[ 0.91748643-0.33249443j, -0.21614436+0.01891627j,
            0.02424405-0.00145363j],
          [ 0.20981511-0.05526149j,  0.95174401+0.00555948j,
           -0.21614436+0.01891627j],
          [ 0.02236691-0.00946617j,  0.20981511-0.05526149j,
            0.91748643-0.33249443j]],
         input_dims=(3,), output_dims=(3,))"
20,"Operator([[ 0.91726329-0.33244211j, -0.21463995+0.03793298j,
            0.0238421 -0.00571199j],
          [ 0.21482756-0.03685568j,  0.95128864+0.00561186j,
           -0.21463995+0.03793298j],
          [ 0.02389821-0.00547248j,  0.21482756-0.03685568j,
            0.91726329-0.33244211j]],
         input_dims=(3,), output_dims=(3,))"
21,"Operator([[ 0.9130605 -0.33145648j, -0.2358023 -0.00479793j,
            0.02848635+0.00446146j],
          [ 0.22029964-0.08422478j,  0.9427115 +0.00659802j,
           -0.2358023 -0.00479793j],
          [ 0.02353924-0.01665174j,  0.22029964-0.08422478j,
            0.9130605 -0.33145648j]],
         input_dims=(3,), output_dims=(3,))"
22,"Operator([[ 0.88838704-0.32566385j,  0.1750327 -0.26672052j,
           -0.01574309-0.05184015j],
          [-0.2548899 -0.19185261j,  0.89235322+0.01237568j,
            0.1750327 -0.26672052j],
          [ 0.00894665+0.05343411j, -0.2548899 -0.19185261j,
            0.88838704-0.32566385j]],
         input_dims=(3,), output_dims=(3,))"
23,"Operator([[ 0.88787872-0.32554439j, -0.17805631+0.26645088j,
           -0.01501881-0.05259785j],
          [ 0.25764437+0.19057676j,  0.89131568+0.0124945j ,
           -0.17805631+0.26645088j],
          [ 0.00993274+0.0537907j ,  0.25764437+0.19057676j,
            0.88787872-0.32554439j]],
         input_dims=(3,), output_dims=(3,))"
24,"Operator([[ 0.88976399-0.3259874j ,  0.25400656+0.18641067j,
            0.00997063+0.05181283j],
          [-0.17604092+0.26130033j,  0.89516376+0.01205379j,
            0.25400656+0.18641067j],
          [-0.0141039 -0.05084351j, -0.17604092+0.26130033j,
            0.88976399-0.3259874j ]],
         input_dims=(3,), output_dims=(3,))"
25,"Operator([[ 0.93350171-0.33624745j,  0.11004216-0.05780567j,
            0.00515827-0.005902j  ],
          [-0.1231047 -0.01720483j,  0.98442634+0.00179624j,
            0.11004216-0.05780567j],
          [ 0.00724224+0.00299855j, -0.1231047 -0.01720483j,
            0.93350171-0.33624745j]],
         input_dims=(3,), output_dims=(3,))"
26,"Operator([[ 0.89689944-0.32766354j, -0.22188169-0.19212569j,
            0.00131583+0.04541473j],
          [ 0.14387525-0.25581962j,  0.90972778+0.01038468j,
           -0.22188169-0.19212569j],
          [-0.01900697-0.04126698j,  0.14387525-0.25581962j,
            0.89689944-0.32766354j]],
         input_dims=(3,), output_dims=(3,))"
27,"Operator([[ 0.92352783-0.33391069j, -0.18763049-0.00823592j,
            0.01771299+0.00363643j],
          [ 0.17380136-0.07117667j,  0.96407302+0.00414086j,
           -0.18763049-0.00823592j],
          [ 0.01425569-0.01112425j,  0.17380136-0.07117667j,
            0.92352783-0.33391069j]],
         input_dims=(3,), output_dims=(3,))"
28,"Operator([[ 9.18983638e-01-0.33284548j, -1.42996588e-01+0.1540045j ,
            9.23874240e-04-0.02273101j],
          [ 1.86637736e-01+0.09660106j,  9.54799485e-01+0.00520802j,
           -1.42996588e-01+0.1540045j ],
          [ 1.09237405e-02+0.01995556j,  1.86637736e-01+0.09660106j,
            9.18983638e-01-0.33284548j]],
         input_dims=(3,), output_dims=(3,))"
29,"Operator([[ 0.91269752-0.33137134j,  0.0812242 +0.222993j  ,
           -0.02436661+0.0161023j ],
          [-0.00106353+0.23732282j,  0.94197072+0.00668316j,
            0.0812242 +0.222993j  ],
          [-0.02898353-0.00360149j, -0.00106353+0.23732282j,
            0.91269752-0.33137134j]],
         input_dims=(3,), output_dims=(3,))"
