,unitary
0,"Operator([[ 0.9827211 -0.08208352j, -0.12307858+0.11123484j],
          [ 0.13982654+0.08927523j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9827211 -0.08208352j, -0.07458355-0.14818509j],
          [ 0.04896673-0.15850484j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9827211 -0.08208352j, -0.10557258+0.12796858j],
          [ 0.12533918+0.10868126j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9827211 -0.08208352j,  0.05288677+0.15724032j],
          [-0.02606837+0.16383518j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9827211 -0.08208352j, -0.1109792 -0.12330914j],
          [ 0.08898488-0.14001149j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9827211 -0.08208352j, -0.01160074-0.16549003j],
          [-0.01601416-0.16512139j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9827211 -0.08208352j, -0.14060425-0.08804528j],
          [ 0.12404956-0.11015096j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9827211 -0.08208352j,  0.16445774-0.02179861j],
          [-0.16579519+0.00578635j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9827211 -0.08208352j, -0.16468044-0.02004691j],
          [ 0.1590728 -0.04708898j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9827211 -0.08208352j, -0.01725836-0.16499599j],
          [-0.01035298-0.16557277j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
