unitary
"Operator([[0.93997574-0.14807824j, 0.04784204+0.30369323j],
          [0.04784204+0.30369323j, 0.93997574-0.14807824j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.93997574-0.14807824j, -0.27855589+0.13009633j],
          [ 0.30506148+0.03815668j,  0.93997574-0.14807824j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.93997574-0.14807824j,  0.09804638-0.29138522j],
          [-0.18288084-0.2471296j ,  0.93997574-0.14807824j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.93997574-0.14807824j,  0.17479522-0.25291317j],
          [-0.24408478-0.18692528j,  0.93997574-0.14807824j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.93997574-0.14807824j,  0.25432451-0.1727353j ],
          [-0.29511254-0.08618023j,  0.93997574-0.14807824j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.93997574-0.14807824j,  0.30164664-0.05939483j],
          [-0.30529753+0.03621958j,  0.93997574-0.14807824j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.93997574-0.14807824j,  0.30657232+0.02306193j],
          [-0.28463427+0.11619714j,  0.93997574-0.14807824j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.93997574-0.14807824j,  0.30677253+0.02022513j],
          [-0.28569692+0.11355928j,  0.93997574-0.14807824j]],
         input_dims=(2,), output_dims=(2,))"
