,unitary
0,"Operator([[ 0.96939523-0.10815603j, -0.15650285+0.15518384j],
          [ 0.18685663+0.116875j  ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.96939523-0.10815603j,  0.21417379-0.05200722j],
          [-0.22036955-0.00352495j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.96939523-0.10815603j, -0.02118095-0.2193776j ],
          [-0.02769021-0.21865136j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96939523-0.10815603j, -0.21964833-0.01815971j],
          [ 0.21024484-0.06612316j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96939523-0.10815603j, -0.03904581-0.21691148j],
          [-0.00972112-0.22018325j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[0.96939523-0.10815603j, 0.02443828+0.21903866j],
          [0.02443828+0.21903866j, 0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.96939523-0.10815603j, -0.19908713+0.09454883j],
          [ 0.21502994+0.04834552j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96939523-0.10815603j, -0.10422253+0.19419791j],
          [ 0.14446049+0.16645219j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.96939523-0.10815603j,  0.16471804+0.14643473j],
          [-0.12839376+0.1791374j ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.96939523-0.10815603j, -0.01707618-0.21973523j],
          [-0.03177287-0.21809551j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
